@ HyperIMU - ianovir
@ Date:Tue May 19 08:06:24 GMT+02:00 2020, Sampling Rate:100ms
@ chris dancing, Ed Sheeran - Shape of You

accelerometer_lsm6ds3_c.x,accelerometer_lsm6ds3_c.y,accelerometer_lsm6ds3_c.z,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
-2.4642084,3.607564,9.405516,-0.49159998,-0.546,0.6831,0.056823,0.228259,0.725419
-1.4773469,1.817362,8.350027,0.1862,-1.6804999,-0.5079,0.053877,0.191564,0.704689
-1.5516821,1.1346408,12.516015,-0.7303,-0.7869,3.3595998,0.04725,0.102776,0.697549
-0.7070652,1.8998948,9.0987425,-0.727,-0.2732,-0.4062,0.06374,0.084993,0.696444
0.2916808,2.6492321,8.54164,0.0378,0.2714,-1.0244,0.094988,0.075799,0.684726
-0.049406745,3.1138604,8.388488,-0.3978,0.65139997,-1.3856,0.117004,0.075259,0.668772
0.44089705,2.480728,7.2491064,-0.2136,-0.1416,-2.0012,0.137616,0.05937,0.648282
0.99516433,2.3629334,7.4516077,0.4308,0.3536,-2.2679,0.153293,0.043824,0.63231
1.1761659,1.4787259,9.540377,-0.5907,-1.211,0.5388,0.159216,0.011169,0.619903
1.6263621,1.8828193,9.865672,-0.6186,-0.1103,0.8064,0.166043,-0.02341,0.617642
-0.50876784,-1.641187,9.880698,-4.904,-5.0593,0.0526,0.219328,-0.087055996,0.626234
2.7666917,-4.285238,7.1746373,-4.1008,-5.6692,0.6283,0.34864,-0.178851,0.691244
19.723875,-1.9235495,-2.848736,9.3626995,-1.3298999,-4.3103,0.592645,-0.25299,0.73449
15.823901,-1.7860553,-0.58095783,7.8101997,1.346,-1.5575999,0.632153,-0.238673,0.736101
4.2553678,-1.8598063,-1.4976306,-3.2428,0.53069997,-0.8825,-0.602497,0.244944,-0.759597
3.051075,-2.501577,0.9029492,-4.1312,2.4798,0.2165,-0.609802,0.277812,-0.74175197
11.747601,-3.6320806,0.8319659,2.1261,0.7977,-0.31129998,-0.594463,0.293583,-0.747666
9.328768,-5.8203425,0.88522255,0.5064,-0.22989999,0.3401,-0.599754,0.301893,-0.739522
6.905098,-3.7769394,-2.3303244,1.5266,5.861,-2.2059,-0.555922,0.399972,-0.712969
-5.354699,-10.90826,-0.5628289,-4.7356997,-0.7686,3.7884998,-0.578477,0.417164,-0.668863
4.7003927,-10.55999,0.9304251,5.0063,-1.3727,0.58809996,-0.47024798,0.503344,-0.630739
2.0544453,-6.5414762,0.0752354,0.5427,2.5825,-0.1732,-0.482036,0.518947,-0.610484
-0.65846294,-4.4690647,-3.3020256,-4.1179,5.1947,-2.3346,-0.492777,0.551034,-0.571967
-2.5935526,-10.272448,-0.94479984,-2.6339,-1.2534,0.38689998,-0.489258,0.609799,-0.429767
-1.6080225,-9.181228,-0.58135045,0.125,0.10569999,1.7779,-0.507527,0.590818,-0.415315
-0.3517657,-7.733099,1.1842296,0.91929996,2.3116,1.8362,-0.481756,0.553654,-0.446938
-3.3714957,-11.295058,-1.7833929,-2.1051,-1.6787,-2.0132,-0.473524,0.516842,-0.452478
-1.1475409,-8.976111,0.20957884,0.5943,1.1457,0.62329996,-0.481919,0.533888,-0.43915
-1.4678563,-9.532131,-2.0487854,-0.3044,0.112399995,-1.2964,-0.498904,0.522489,-0.429353
-1.6100624,-10.13072,-1.151726,-0.7967,0.1135,0.41689998,-0.540954,0.533972,-0.406422
-1.5774342,-10.299224,-1.6896073,-0.7398,-1.1237,-0.23169999,-0.541705,0.532201,-0.403266
-0.50190127,-7.9515176,-1.0561781,1.2484,2.0827,-0.0132,-0.498328,0.518647,-0.436123
-3.7963133,-12.053092,-3.8593764,-2.105,-1.9411999,-1.9707999,-0.478783,0.498275,-0.44969898
-0.7878935,-9.200898,-1.1358188,0.5358,0.5232,-0.9637,-0.487436,0.517946,-0.444581
-1.5601481,-8.081877,-0.4981759,-0.46289998,1.5761,0.8189,-0.52283,0.534232,-0.429255
-1.007279,-14.675854,-1.0721427,-0.86259997,-5.0854,1.1751,-0.544307,0.562266,-0.41215
0.14200489,-8.788722,-0.23172042,1.143,0.5528,1.0157,-0.498499,0.564611,-0.454642
-1.2614857,-10.046549,0.12774503,-0.37849998,1.1286,0.7115,-0.451194,0.539633,-0.497782
0.21253806,-9.657003,-0.3868168,1.5547999,0.0894,-0.36769998,-0.430466,0.552222,-0.500447
-0.5952847,-9.246627,-2.0057569,0.29389998,0.5564,-1.5841999,-0.437028,0.564565,-0.50318
-0.73703104,-7.3955355,-2.0318441,-0.0053,2.2896,-1.1159999,-0.473801,0.581472,-0.48082998
-0.10380301,-14.245098,-1.5078586,0.24489999,-4.5228,1.513,-0.514309,0.593403,-0.443763
-0.6235651,-8.404424,0.033557132,0.5972,0.71999997,1.5981,-0.516524,0.556944,-0.437111
-1.3923814,-8.275156,1.0306273,-0.2304,2.2054,0.853,-0.508151,0.493735,-0.443951
0.07588662,-9.275893,0.53234595,0.99729997,0.20629999,-0.1442,-0.5239,0.458445,-0.408223
-1.5480621,-9.111948,-1.8496165,-0.74259996,0.6956,-1.8693999,-0.549901,0.458575,-0.392801
-1.9828013,-7.257649,0.79487497,-0.74109995,2.3504,0.9978,-0.598363,0.472056,-0.352721
-1.3546585,-13.215333,-1.253106,-0.5158,-4.0364,0.5866,-0.61783,0.498692,-0.326841
-1.0754466,-8.040208,-0.37902126,0.1828,0.72389996,1.5758,-0.571625,0.516323,-0.369835
-0.3266266,-7.292384,-0.6047753,0.4191,2.3566,-0.065799996,-0.518836,0.533943,-0.413604
-0.81153864,-10.292893,-2.845729,-0.4218,-0.8056,-1.2866,-0.53727,0.586717,-0.397723
-3.6855958,-10.0611725,-5.776203,-2.8806999,-1.133,-2.8897998,-0.520813,0.610664,-0.416267
0.967947,-5.955433,-3.0903304,2.1118,3.4652,-0.5584,-0.476717,0.623511,-0.44236
0.24822125,-9.079454,-4.7610617,0.81189996,0.14729999,-1.8937,-0.459458,0.660184,-0.451228
-1.4840316,-11.724895,-2.55197,-0.8307,-2.7628,-0.3635,-0.471046,0.667891,-0.450587
-2.578469,-7.3375387,-0.30309635,-1.2399,1.464,1.681,-0.447191,0.631847,-0.48243
