@ HyperIMU - ianovir
@ Date:Thu May 21 15:07:17 GMT+02:00 2020, Sampling Rate:20ms
@ chris dancing, Ed Sheeran - Shape of You

timestamp,accelerometer_lsm6ds3_c.x,accelerometer_lsm6ds3_c.y,accelerometer_lsm6ds3_c.z,als_B.x,als_B.y,als_B.z,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1590066437245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590066437267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1590066437286,-1.481034,5.3099084,7.1698484,240.0,2088.0,1411.0,0.1038,0.196,-0.1312,0.258196,0.046315,-0.157644
1590066437306,-1.8683679,4.946296,6.6723433,240.0,2088.0,1411.0,-0.5814,0.3308,-2.0458999,0.263202,0.02024,-0.188856
1590066437327,-1.0127473,4.1499753,7.8700285,240.0,2088.0,1411.0,-0.2933,-0.4014,-1.3277,0.25937,0.005616,-0.199472
1590066437348,-0.6491447,3.8637245,9.550432,240.0,2088.0,1411.0,0.0757,-0.42839998,0.6702,0.242029,-0.009797,-0.209239
1590066437369,-2.218726,4.089354,10.954957,240.0,2088.0,1411.0,-1.3138,-0.5652,1.9907,0.224207,-0.01523,-0.216245
1590066437392,-1.9175639,4.3902287,11.496669,240.0,2088.0,1411.0,-1.5049,0.26,2.3406,0.215791,-0.016592,-0.224907
1590066437414,-0.9067608,4.5122275,12.253744,240.0,2088.0,1411.0,-0.3513,0.6538,3.202,0.192062,-0.019295,-0.262066
1590066437433,-1.1227561,4.2501674,10.191331,240.0,2088.0,1411.0,-0.29389998,0.70059997,1.9307,0.187185,-0.020119,-0.267262
1590066437454,-2.1943815,4.445832,8.3659725,240.0,2088.0,1411.0,-1.1348,0.8328,-0.0738,0.18948899,-0.018062,-0.275273
1590066437473,-2.3905241,4.0702868,7.3837085,240.0,2088.0,1411.0,-1.5717,0.5099,-1.4692,0.194485,-0.01628,-0.288581
1590066437495,-2.1716177,3.7245734,6.583231,240.0,2088.0,1411.0,-1.2764,0.0796,-2.159,0.199264,-0.01461,-0.306222
1590066437516,-2.4609041,3.219828,5.5136166,240.0,2088.0,1411.0,-1.2494999,-0.3875,-3.0455,0.20626199,-0.011247,-0.341887
1590066437537,-1.9525864,3.5916471,6.9717145,240.0,2088.0,1411.0,-1.1618,-0.482,-3.1582,0.204466,-0.013007,-0.348034
1590066437558,-1.510703,4.0005198,9.681605,240.0,2088.0,1411.0,-0.705,0.14389999,-0.686,0.196465,-0.020608,-0.35812598
1590066437579,-0.8645558,4.1254683,9.727709,240.0,2088.0,1411.0,-0.0594,0.5384,0.6306,0.188384,-0.025752,-0.365914
1590066437600,-0.8882776,3.8460457,8.636527,262.0,2161.0,1406.0,0.1901,0.4587,-0.1275,0.185476,-0.024421,-0.374044
1590066437621,-1.4162756,3.397238,8.763151,262.0,2161.0,1406.0,-0.2148,0.0902,-0.516,0.186418,-0.020877,-0.378045
1590066437642,-1.9530843,2.995309,9.856344,262.0,2161.0,1406.0,-0.8215,-0.3909,0.57699996,0.18464,-0.018098,-0.384415
1590066437663,-2.0758686,2.6827412,10.944385,262.0,2161.0,1406.0,-0.9578,-0.53569996,1.2751,0.182224,-0.017591,-0.389845
1590066437682,-1.8724668,1.9733107,10.98748,262.0,2161.0,1406.0,-0.9264,-1.0652,2.1324,0.174251,-0.018982,-0.408984
1590066437703,-1.6730202,1.9892751,10.258349,262.0,2161.0,1406.0,-0.6767,-1.2246,1.2926999,0.170182,-0.021259,-0.422584
1590066437725,-1.3908588,2.345542,9.351522,262.0,2161.0,1406.0,-0.4969,-0.8707,0.3947,0.16610199,-0.023189,-0.437377
1590066437746,-1.0806085,2.9972436,8.447289,262.0,2161.0,1406.0,-0.1072,-0.0862,-0.76839995,0.160435,-0.024122,-0.455898
1590066437768,-0.9815269,3.2703645,8.008825,262.0,2161.0,1406.0,0.053999998,0.2996,-1.1531,0.158436,-0.02453,-0.458824
1590066437789,-1.1232828,3.2730463,8.023736,262.0,2161.0,1406.0,0.0077,0.3473,-1.3165,0.15621799,-0.024691,-0.460581
1590066437809,-1.199495,3.1137552,8.452126,262.0,2161.0,1406.0,-0.22459999,0.3091,-1.0376999,0.154808,-0.025022,-0.461203
1590066437830,-1.3333501,2.7981608,9.072052,262.0,2161.0,1406.0,-0.38459998,-0.0257,-0.3798,0.149657,-0.027128,-0.461697
1590066437851,-1.1730822,3.0964115,9.122244,262.0,2161.0,1406.0,-0.54829997,0.03,-0.2005,0.146413,-0.02898,-0.460362
1590066437873,-0.9509003,3.5525167,9.110368,262.0,2161.0,1406.0,-0.2429,0.583,-0.3315,0.142368,-0.032816,-0.454809
1590066437890,-1.0915931,3.2237544,9.124916,262.0,2161.0,1406.0,-0.3779,0.62939996,-0.2322,0.141357,-0.034321,-0.452251
1590066437911,-1.1360391,3.4164205,8.621951,262.0,2161.0,1406.0,-0.4736,0.5434,-0.4825,0.139925,-0.036334,-0.44623598
1590066437933,-1.4671668,3.4649365,8.409174,262.0,2161.0,1406.0,-0.7741,0.65059996,-1.1367999,0.13875,-0.035863,-0.43855
1590066437955,-1.0855502,3.6861608,8.988791,284.0,2276.0,1447.0,-0.5511,1.0107,-0.4394,0.135511,-0.035079,-0.429453
1590066437976,0.085836925,3.0923223,12.49079,284.0,2276.0,1447.0,0.2025,0.51989996,2.6327,0.127848,-0.037282,-0.417239
1590066437997,0.15976986,2.7716236,12.642467,284.0,2276.0,1447.0,0.6339,0.5178,3.4248998,0.12372,-0.036255,-0.408809
1590066438018,-0.5114111,1.4934934,11.402137,284.0,2276.0,1447.0,0.0506,-0.5729,2.2747998,0.122468,-0.031396,-0.400683
1590066438040,-0.12050496,1.3018999,10.482161,284.0,2276.0,1447.0,0.12799999,-1.2560999,1.2975,0.123054996,-0.022637,-0.391403
1590066438061,0.666134,2.725904,8.664194,284.0,2276.0,1447.0,1.2778,-0.2003,-0.2031,0.124506,-0.011948,-0.378381
1590066438080,0.31194535,3.372147,8.844268,284.0,2276.0,1447.0,1.3316,0.83599997,-0.9842,0.125663,-0.005068,-0.362653
1590066438104,-0.024909275,2.7400203,8.881147,284.0,2276.0,1447.0,0.76479995,0.7148,-0.2355,0.126297,-0.006428,-0.348111
1590066438124,0.2800737,2.3015652,8.347049,284.0,2276.0,1447.0,0.8596,-0.1178,-1.1538,0.13076,-0.008507,-0.330971
1590066438144,0.76379824,2.4003596,8.850147,284.0,2276.0,1447.0,1.3048999,-0.19479999,-0.75479996,0.13392,-0.008836,-0.319741
1590066438166,1.2343068,3.243406,8.794133,284.0,2276.0,1447.0,1.7807,0.33179998,-0.68369997,0.136212,-0.009149,-0.307659
1590066438185,1.0209835,3.1319892,9.815997,284.0,2276.0,1447.0,1.7006999,0.6482,-0.016999999,0.13772699,-0.012791,-0.296255
1590066438207,0.33625126,1.9306077,10.23775,284.0,2276.0,1447.0,0.7722,-0.33409998,1.0588,0.139728,-0.021512,-0.288043
1590066438228,0.7333248,1.5404581,10.283374,284.0,2276.0,1447.0,0.7051,-1.0521,0.8728,0.14331199,-0.031076,-0.282028
1590066438249,0.81841475,1.4626466,10.593261,284.0,2276.0,1447.0,0.5916,-1.7061,1.0373,0.146401,-0.038148,-0.275807
1590066438271,1.6651002,2.210327,10.27756,284.0,2276.0,1447.0,1.1511999,-1.2981,1.1811,0.148228,-0.041853,-0.266601
1590066438290,2.1510465,2.6657617,10.005762,284.0,2276.0,1447.0,1.785,-0.5441,0.8153,0.149179,-0.042598,-0.255793
1590066438315,2.8963904,2.8141065,8.830199,294.0,2347.0,1489.0,2.7452998,-0.3224,-0.3601,0.152357,-0.043845,-0.239378
1590066438332,3.59769,2.7220445,9.00375,294.0,2347.0,1489.0,3.3558,-0.38939998,-0.3558,0.155002,-0.048289,-0.23173
1590066438354,1.4152892,2.5711045,9.815174,294.0,2347.0,1489.0,1.3003,-0.6003,0.391,0.158454,-0.057711,-0.228087
1590066438377,2.3654616,2.4086626,9.206481,294.0,2347.0,1489.0,1.5371,-1.0043,0.1334,0.164782,-0.068195,-0.22568
1590066438397,2.3790035,2.807757,8.423281,294.0,2347.0,1489.0,1.8253,-0.9314,-0.36139998,0.172618,-0.075987,-0.22168
1590066438417,2.9920146,3.6667678,7.768342,294.0,2347.0,1489.0,2.0094,-0.28779998,-1.1033,0.178785,-0.079259,-0.216791
1590066438439,2.242572,3.860248,7.933312,294.0,2347.0,1489.0,2.2161999,0.1266,-1.4505,0.182121,-0.081635,-0.211344
1590066438458,1.490199,3.4664977,8.3892355,294.0,2347.0,1489.0,1.1753,0.0064,-0.9016,0.181961,-0.083165,-0.211519
1590066438480,1.511948,3.2964232,8.039126,294.0,2347.0,1489.0,0.5499,-0.50409997,-1.0069,0.181237,-0.088402,-0.21523
1590066438501,1.7680031,3.8660324,9.187107,294.0,2347.0,1489.0,0.7226,0.008599999,-0.0431,0.180448,-0.09348,-0.216713
1590066438521,1.9599222,3.9148455,10.003578,294.0,2347.0,1489.0,0.9037,0.1013,0.8111,0.17979799,-0.10014,-0.217587
1590066438543,2.1160147,4.585538,9.531949,294.0,2347.0,1489.0,0.8702,0.491,0.7176,0.180486,-0.10494,-0.218334
1590066438563,2.2052321,4.8589554,9.04559,294.0,2347.0,1489.0,0.9672,0.9891,0.34849998,0.182206,-0.107567,-0.21837
