@ HyperIMU - ianovir
@ Date:Sat Jun 13 16:52:12 GMT+02:00 2020, Sampling Rate:20ms

timestamp,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1592059932317,0.0,0.0,0.0,0.0,0.0,0.0
1592059932338,0.0,0.0,0.0,0.0,0.0,0.0
1592059932359,1.3108,1.0408,-0.1926,0.179286,0.171846,0.950351
1592059932380,2.1687,1.8484999,3.6276999,0.181379,0.1734,0.948899
1592059932401,2.1687,1.8484999,3.6276999,0.181379,0.1734,0.948899
1592059932426,-1.512,0.225,-0.14739999,0.163766,0.192782,0.943349
1592059932445,-2.3574998,-0.9551,4.6493998,0.162086,0.199464,0.93595797
1592059932464,-2.2123,-1.2919999,6.5747,0.162173,0.199801,0.93383
1592059932485,-1.6636,-1.5005,6.4272,0.16002999,0.203932,0.929588
1592059932506,-0.7528,-2.2591999,2.043,0.153541,0.214686,0.926174
1592059932527,-2.9954998,0.1139,-4.7187,0.147236,0.239229,0.918575
1592059932545,-2.9972,0.7626,-4.9084997,0.154857,0.257393,0.909436
1592059932566,-4.3798,-3.8219998,-0.9626,0.159134,0.27128,0.901496
1592059932587,-5.1649,-3.2196,-0.7058,0.158008,0.27847,0.898494
1592059932608,-4.0761,-0.7014,-2.8037,0.145064,0.291557,0.89783
1592059932629,0.4296,0.38279998,1.064,0.137304,0.303971,0.897094
1592059932649,1.2435,-0.5373,1.6221,0.150718,0.309015,0.89185697
1592059932670,1.9266,-0.76479995,-0.6081,0.17239,0.315874,0.882303
1592059932691,1.5942999,-1.4387,-0.74619997,0.185266,0.318789,0.876034
1592059932712,-0.7766,-4.3329997,-2.0432,0.209331,0.317811,0.862562
1592059932733,-6.2799,-1.2196,-0.21599999,0.217448,0.31575,0.856058
1592059932752,-1.143,-1.9611,-2.4471,0.222262,0.315167,0.85302
1592059932773,-1.1011,-3.1313999,-1.2391,0.225672,0.313677,0.851155
1592059932794,-1.1991,-3.5151,-1.0787,0.22657199,0.312515,0.850597
1592059932815,-0.4998,-1.4426999,-1.1925,0.232785,0.304153,0.85065
1592059932836,-1.0263,-1.8103,-1.1187,0.239482,0.301012,0.849061
1592059932857,-2.6938,1.3385999,-3.6495,0.257868,0.294837,0.844247
1592059932878,0.4554,-1.0135,-0.0382,0.285501,0.276656,0.839028
1592059932899,0.20639999,-2.0170999,-0.9939,0.294002,0.256682,0.84145397
1592059932920,0.081999995,-5.7679,-3.7819,0.305116,0.231465,0.843646
1592059932940,0.84929997,-5.3339,-4.6294,0.326469,0.1997,0.841663
1592059932961,-6.6369,-2.4843,-2.0983999,0.356048,0.160429,0.834687
1592059932982,-2.6308,-7.3742,5.65,0.379268,0.110586,0.833061
1592059933003,-3.6715999,-6.625,8.7815,0.39981,0.058209,0.8352
1592059933026,-9.0462,-6.3357,1.7494999,0.465904,0.011623,0.824139
1592059933045,-3.3205,-5.8613997,1.0116,0.531022,-0.009757,0.804496
1592059933066,2.5513,-3.3465,3.428,0.594284,-0.033294,0.779879
1592059933087,5.6914,-2.6224,5.3815,0.644086,-0.055099,0.754892
1592059933108,11.9079,-1.2013,4.1475997,0.666257,-0.067621,0.741426
1592059933129,15.870899,0.4114,2.7361,-0.683593,0.072149,-0.72563
1592059933150,15.5081,-0.48839998,-1.2507,-0.70378,0.058518,-0.70034
1592059933169,14.2407,-0.6861,-4.7974,-0.718962,0.038594,-0.67253697
1592059933190,14.3575,2.2538,-3.6499999,-0.722312,0.025766,-0.653163
1592059933212,9.7015,4.6308,-1.9722999,-0.710714,0.017936,-0.649612
1592059933233,3.8618999,3.3853,-2.6401,-0.699513,0.008447,-0.655456
1592059933256,-1.666,3.0760999,-3.4301,-0.686739,-8.06E-4,-0.665769
1592059933275,-8.0745,2.939,-19.6227,-0.677863,-0.00462,-0.674678
1592059933295,-5.4625,3.0914,2.3978,-0.675011,0.010787,-0.682982
1592059933316,-7.6173,4.1847,3.5597,-0.668942,0.022633,-0.692123
