@ HyperIMU - ianovir
@ Date:Sat Jun 13 16:50:21 GMT+02:00 2020, Sampling Rate:20ms

timestamp,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1592059821594,0.0,0.0,0.0,0.0,0.0,0.0
1592059821616,0.32729998,-3.2143,-3.8767,0.012936,0.284912,0.729492
1592059821635,0.34829998,-3.6464999,-4.199,0.009391,0.265182,0.729703
1592059821655,0.34829998,-3.6464999,-4.199,0.009391,0.265182,0.729703
1592059821676,0.34829998,-3.6464999,-4.199,0.009391,0.265182,0.729703
1592059821699,1.252,-1.3354,1.1714,0.001954,0.143964,0.759556
1592059821720,-0.036,0.8846,-1.4136,-0.0029199999,0.120064,0.772213
1592059821741,0.3114,1.9382999,0.66279995,0.005171,0.108488,0.768888
1592059821762,0.81869996,1.7853999,1.0698,0.011786,0.104452,0.765786
1592059821783,0.6249,0.162,-0.5186,0.029045,0.098558,0.755262
1592059821803,-0.55799997,-1.2442,0.2631,0.051672,0.088024996,0.73823
1592059821824,-1.2329,-0.9949,1.1424,0.055626,0.081571996,0.732919
1592059821845,-0.3225,0.2853,-0.21519999,0.052978,0.078862,0.731077
1592059821866,0.5316,0.82839996,-1.0133,0.051514998,0.07861,0.730028
1592059821887,0.0637,-0.27809998,-1.2874,0.05773,0.074321,0.718408
1592059821908,-0.7715,-1.048,-1.2643,0.061672,0.072351,0.713919
1592059821929,-0.82119995,-0.8946,-0.49359998,0.069268,0.067308,0.707416
1592059821950,1.0718,0.57379997,-0.944,0.077587,0.062022,0.702869
1592059821971,-0.1083,-0.21059999,-2.2770998,0.086251,0.054402,0.693559
1592059821992,-1.0939,-1.2533,-0.84459996,0.089021,0.044823,0.686112
1592059822013,-1.5282999,-1.5688,0.8756,0.090625,0.037882,0.682571
1592059822032,-0.0067,-1.1104,0.15349999,0.094763,0.029119,0.680496
