@ HyperIMU - ianovir
@ Date:Sat Jun 13 16:53:07 GMT+02:00 2020, Sampling Rate:20ms

timestamp,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1592059987967,0.0,0.0,0.0,0.0,0.0,0.0
1592059987988,-0.3168,0.1963,0.9817,0.163972,0.075286,-0.543583
1592059988009,-1.6645,0.4289,2.1346,0.159629,0.076045,-0.563063
1592059988030,2.8964,-1.3909,-2.687,0.155262,0.076775,-0.570114
1592059988051,1.8484999,-0.78679997,-1.2034,0.133097,0.070172,-0.578439
1592059988072,1.3323,-0.3743,1.6004,0.106782,0.064805,-0.58551
1592059988092,-1.1929,-0.6202,4.2571,0.073124,0.052042,-0.597978
1592059988113,-1.0797,-0.27019998,1.4415,0.072933,0.051747,-0.601415
1592059988134,-2.9338,1.9202,-1.0452,0.086687,0.046824,-0.614384
1592059988154,-1.8318,1.8469,-3.7468,0.092787,0.043068,-0.621251
1592059988175,0.82879996,1.3025,-5.5561,0.10326,0.032465,-0.633146
1592059988194,2.0442998,2.5597,-6.4146,0.09707,0.00469,-0.645731
1592059988216,1.2876999,-0.7635,2.5885,0.066627,-0.050379,-0.667123
1592059988237,-1.0767,-2.5335,1.4365,0.059545,-0.075473,-0.68360597
1592059988257,-0.6577,-1.3938999,-1.0074999,0.058094,-0.094202,-0.697867
1592059988278,-1.0056,0.2184,-3.0718,0.055988,-0.106046,-0.704255
1592059988300,-1.0946,-0.9332,0.9159,0.039125,-0.147211,-0.720956
1592059988321,-0.45409998,-0.8343,1.0101,0.028754,-0.167858,-0.7298
1592059988342,-1.2971,-1.0133,1.0196,0.023588,-0.17444,-0.738416
1592059988363,-2.6390998,-2.5728,1.7888999,0.020582,-0.171724,-0.75223297
1592059988383,-0.276,-0.90389997,-1.4774,0.015879,-0.184165,-0.758367
1592059988404,-3.3,0.5995,-3.8154,0.003901,-0.210832,-0.761469
1592059988425,-2.7651,-0.111499995,-2.803,-0.004882,-0.22374,-0.762715
1592059988446,-1.8238,-0.7973,-2.4915,-0.01788,-0.232696,-0.764509
1592059988467,-4.5944,-1.4025999,-1.9587,-0.040307,-0.23239,-0.766375
1592059988487,-3.1234,-3.9348,-3.5814,-0.060238,-0.237211,-0.763528
1592059988508,-3.0871,-5.0186996,-3.6325,-0.088865,-0.245748,-0.757205
1592059988529,-7.6608996,-2.2343,-6.1513996,-0.15055,-0.268203,-0.739448
1592059988550,-6.4234,-7.0992,0.49469998,-0.181865,-0.282223,-0.725438
1592059988570,-0.2545,-4.8198,2.4016,-0.263597,-0.320105,-0.66683
1592059988591,0.77529997,-3.5765,2.0605,-0.317725,-0.361395,-0.605391
1592059988610,2.2217999,-4.4470997,0.70409995,-0.363173,-0.414735,-0.529922
1592059988631,6.7669997,-2.5393,3.2022,-0.399155,-0.467377,-0.444275
1592059988651,11.558599,0.7055,-0.39159998,-0.421341,-0.510395,-0.352323
1592059988672,12.567699,1.6583999,-0.24249999,-0.429732,-0.539408,-0.266546
1592059988694,12.3446,1.6588999,-1.522,-0.425217,-0.555504,-0.209549
1592059988714,10.365,2.1641998,-5.3387,-0.411881,-0.571097,-0.156575
