@ HyperIMU - ianovir
@ Date:Sat Jun 13 12:25:07 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Linear_Acceleration.x,Linear_Acceleration.y,Linear_Acceleration.z,Rotation_Vector.x,Rotation_Vector.y,Rotation_Vector.z
1592043907802,0.0,0.0,0.0,0.0,0.0,0.0
1592043907823,0.0,0.0,0.0,0.0,0.0,0.0
1592043907843,0.0,0.0,0.0,0.0,0.0,0.0
1592043907864,0.0,0.0,0.0,0.0,0.0,0.0
1592043907885,0.0,0.0,0.0,0.0,0.0,0.0
1592043907905,0.0,0.0,0.0,0.0,0.0,0.0
1592043907926,2.480091,3.307946,2.6083813,0.29025447,-0.073949866,-0.59645045
1592043907946,2.1124988,3.39367,4.6892123,0.26784647,-0.09829866,-0.55791384
1592043907968,2.2848315,1.5213499,5.9887786,0.23128423,-0.106637895,-0.56152946
1592043907989,0.9687947,1.7780037,2.8784208,0.21056381,-0.107509464,-0.5626473
1592043908010,-2.1517978,0.053301334,4.101506,0.19796406,-0.094679534,-0.5834437
1592043908029,-0.7664624,-1.5056643,3.6042242,0.18431465,-0.08592607,-0.6036616
1592043908049,1.7044897,0.05174136,0.8406782,0.16488354,-0.08378382,-0.61231905
1592043908070,1.64668,0.5550654,0.58752537,0.15560737,-0.090837955,-0.6068421
1592043908091,0.10312697,-1.0787132,-0.013292313,0.15536001,-0.09338294,-0.606415
1592043908112,1.2363125,-1.432327,-1.1276035,0.15585992,-0.09783029,-0.60830826
1592043908133,1.7821736,-1.9973793,-1.318038,0.16218519,-0.10482194,-0.60786736
1592043908153,1.3744564,-0.7768941,-4.740798,0.18670085,-0.098794006,-0.5935293
1592043908174,-0.96741843,-1.1080556,-2.5731697,0.19868979,-0.08996242,-0.59010655
1592043908195,-0.6178497,-0.50326633,-0.8560343,0.20510064,-0.083590984,-0.5890019
1592043908216,-1.3213203,-0.6156273,-0.9043007,0.2138946,-0.07448855,-0.5889885
1592043908235,-0.5177994,-2.3497958,-0.44581413,0.21984117,-0.06827172,-0.5951087
1592043908256,0.7692518,-1.4867339,0.07030773,0.22118944,-0.07191061,-0.596794
1592043908277,0.76088023,-1.8166442,-0.51320076,0.22203565,-0.07677922,-0.59710383
1592043908298,-0.05574286,-2.1216488,-2.859848,0.22953361,-0.083151534,-0.5927328
1592043908318,0.0023899078,-1.9356127,-3.4441338,0.23158057,-0.08780614,-0.591494
1592043908339,0.52772033,-1.9650068,-3.1800852,0.23078501,-0.093486294,-0.58781946
1592043908360,-0.03284657,-2.388229,-1.9006405,0.22802451,-0.09550886,-0.5883657
1592043908381,0.60246587,-1.7182412,0.9679842,0.22524889,-0.095471196,-0.59374505
1592043908402,-0.42788422,-0.3452649,-2.5387921,0.23707955,-0.09388983,-0.58810264
1592043908422,-3.2432628,0.72540903,0.6270127,0.24735864,-0.09055695,-0.58320993
1592043908444,-1.7793512,0.8849158,2.7819858,0.24832839,-0.090701014,-0.58257025
1592043908463,-2.0919652,2.7126055,3.4584742,0.24803148,-0.09165304,-0.5767913
1592043908486,-0.04624343,3.4612155,4.970805,0.24691457,-0.09585716,-0.5643581
1592043908505,-0.8174896,2.6209826,1.8597393,0.25140482,-0.09853061,-0.5528044
1592043908527,0.80588436,3.5401282,2.9901857,0.25268403,-0.09936017,-0.5368264
1592043908548,-0.056008697,1.9827638,4.5004272,0.24639621,-0.09719125,-0.5261504
1592043908569,-0.4674151,0.53598547,6.150859,0.23198114,-0.093818106,-0.5192532
1592043908591,-0.50550765,-0.45408678,3.2509785,0.2203225,-0.09478327,-0.5162693
1592043908610,0.47097224,-1.4094858,1.2110252,0.20751171,-0.098281704,-0.51298094
1592043908631,0.7338718,-2.4626775,1.1087704,0.1919292,-0.10162285,-0.50980824
1592043908650,0.8991961,-2.6670127,0.7582216,0.17703427,-0.10580335,-0.5062148
1592043908673,1.9972459,-2.4104292,-0.93455124,0.1646873,-0.11195153,-0.5002915
1592043908698,2.2955465,-2.8561711,-4.3497553,0.1542943,-0.11794218,-0.48444375
1592043908714,1.4704056,-3.0617719,-4.8274117,0.15045832,-0.11602764,-0.46952716
1592043908735,0.88621515,-3.2983735,-4.7513256,0.14698686,-0.111000255,-0.4575934
1592043908756,0.68962884,-3.1154332,-2.8889866,0.14254838,-0.107611194,-0.44884136
1592043908776,0.77400184,-3.034227,-3.5598116,0.1407664,-0.10819182,-0.44315302
1592043908797,0.24224508,-3.125433,-4.722211,0.14088912,-0.11126141,-0.4379667
1592043908818,-0.9437014,-1.591197,-5.4020987,0.14391614,-0.1177412,-0.42811114
1592043908839,-0.9762848,-1.2085359,-5.2856493,0.15260468,-0.12819524,-0.41312438
1592043908857,-0.77505696,-1.3056643,-3.982789,0.15223877,-0.13399018,-0.40456897
1592043908878,1.832634,0.39685416,-2.59202,0.15139733,-0.13678508,-0.39222264
1592043908899,0.47849214,-1.2525642,-1.738821,0.15387525,-0.13300583,-0.38122126
1592043908920,-0.63190454,-1.304712,-2.817584,0.15974522,-0.1216417,-0.37434953
1592043908941,1.0269549,-0.6806376,-3.582758,0.1651821,-0.10810012,-0.3624164
1592043908962,2.9666204,-0.44890308,-1.1561251,0.1607384,-0.08867242,-0.33760914
1592043908982,1.9121103,-0.45952797,2.4672804,0.14227827,-0.07517558,-0.3158339
1592043909003,6.057604,-1.3328106,2.828001,0.11946331,-0.07081923,-0.28684375
1592043909026,10.660861,0.1012938,1.3199339,0.09733973,-0.11625906,-0.22095695
