@ HyperIMU - ianovir
@ Date:Thu Jun 11 17:08:32 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Samsung_Rotation_Vector.x,Samsung_Rotation_Vector.y,Samsung_Rotation_Vector.z,Linear_Acceleration_Sensor.x,Linear_Acceleration_Sensor.y,Linear_Acceleration_Sensor.z
1591888112210,0.0,0.0,0.0,0.0,0.0,0.0
1591888112235,0.0,0.0,0.0,0.0,0.0,0.0
1591888112259,0.108672,0.103626,0.298053,0.823334,-1.8320588,-0.21588612
1591888112296,0.102014,0.121416,0.274955,1.2507781,-1.7692055,-0.16487694
1591888112322,0.104065,0.126053,0.263528,1.3552504,-1.8090326,-0.13407993
1591888112336,0.101891,0.143419,0.250762,1.7192632,-1.8247966,-0.051078796
1591888112354,0.099672,0.158237,0.242829,2.0221667,-1.8315135,0.027819633
1591888112372,0.099232,0.163845,0.241498,2.129738,-1.8446335,0.06152916
1591888112393,0.098765,0.169895,0.245225,2.231055,-1.8731829,0.09931755
1591888112414,0.093141,0.176629,0.262718,2.332979,-1.8516706,0.123916626
1591888112435,0.081439,0.195612,0.270516,2.7135806,-1.7549587,0.22243977
1591888112459,0.064843,0.215736,0.259188,3.1870437,-1.5082184,0.337183
1591888112481,0.055136,0.226468,0.23477,3.480486,-1.2803763,0.40742016
1591888112508,0.054699,0.224177,0.204332,3.506271,-1.1360867,0.38622952
1591888112527,0.063729,0.218901,0.179007,3.4279854,-1.1818869,0.36135483
1591888112549,0.089324,0.221444,0.163523,3.413594,-1.6042589,0.46014977
1591888112570,0.113276,0.222749,0.151808,3.3833303,-2.0049176,0.56669617
1591888112591,0.14121,0.222134,0.130801,3.3447566,-2.4341965,0.700758
1591888112612,0.173846,0.209729,0.096742,5.655093,-6.1808367,9.560397
1591888112632,0.184857,0.207989,0.079003,3.9154067,0.10015464,7.0593395
1591888112658,0.193406,0.21183,0.070462,6.1968646,-0.16979074,6.677931
1591888112671,0.214811,0.222727,0.047462,3.7046483,1.5279746,1.5311241
1591888112694,0.224565,0.22467,0.005597,-1.7842388,3.5134287,1.1533751
1591888112718,0.223093,0.233316,-0.011385,-1.1621389,2.3133574,3.9619536
1591888112741,0.218219,0.247381,-0.018648,4.7023826,-3.8461971,5.333309
1591888112762,0.206037,0.256429,-0.032722,6.4686947,-5.56233,4.6748934
1591888112785,0.177133,0.271411,-0.085098,1.2121572,-5.3319063,-0.228446
1591888112811,0.159056,0.310066,-0.144977,1.7430573,-5.55552,-2.8924537
1591888112829,0.15247,0.325431,-0.16314,3.1226113,-7.4981437,-3.1601806
1591888112849,0.130325,0.355413,-0.201619,4.5810003,-8.335441,-1.0893292
1591888112870,0.097111,0.38262,-0.246227,4.7126904,-7.389718,0.8131776
