@ HyperIMU - ianovir
@ Date:Thu Jun 11 17:10:28 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Samsung_Rotation_Vector.x,Samsung_Rotation_Vector.y,Samsung_Rotation_Vector.z,Linear_Acceleration_Sensor.x,Linear_Acceleration_Sensor.y,Linear_Acceleration_Sensor.z
1591888228522,0.0,0.0,0.0,0.0,0.0,0.0
1591888228545,0.0,0.0,0.0,0.0,0.0,0.0
1591888228582,0.0,0.0,0.0,0.0,0.0,0.0
1591888228610,0.071868,0.224355,0.683302,-0.9006376,-1.2322643,-0.09871864
1591888228629,0.067459,0.231965,0.674184,-0.695153,-1.2420759,-0.042657852
1591888228652,0.068865,0.238992,0.659875,-0.546294,-1.3021314,0.02600956
1591888228669,0.077941,0.236952,0.65091,-0.641304,-1.3724873,0.033099174
1591888228688,0.083161,0.238035,0.644776,-0.66131353,-1.4385583,0.059682846
1591888228708,0.083737,0.240422,0.644175,-0.6353419,-1.4735358,0.08396816
1591888228730,0.08115,0.241227,0.648239,-0.6148832,-1.4605696,0.08320618
1591888228751,0.079016,0.242883,0.640562,-0.5213759,-1.4251564,0.09222603
1591888228773,0.079158,0.241305,0.632349,-0.4964273,-1.3804166,0.07768154
1591888228795,0.082797,0.22319,0.609732,-0.65919423,-1.1481762,-0.07579231
1591888228820,0.087098,0.214257,0.595265,-0.7616,-1.0674071,-0.13810349
1591888228854,0.092619,0.21291,0.569372,-0.7196479,-1.0615554,-0.12992859
1591888228873,0.098306,0.208503,0.550828,-0.76018214,-1.0505815,-0.14505768
1591888228891,0.103499,0.192838,0.522062,-0.92039704,-0.89930296,-0.24781132
1591888228907,0.10514,0.186835,0.512317,-0.9875691,-0.84362316,-0.28579903
1591888228929,0.113837,0.167661,0.483441,4.488766,-1.9108915,-1.9835305
1591888228948,0.118783,0.15911,0.463038,-1.2538165,-2.1477647,-0.69652367
1591888228977,0.119989,0.155006,0.442403,-1.5649729,-2.6479096,0.11944294
1591888228986,0.119255,0.153981,0.432156,-1.5359668,-2.6080656,0.10978699
1591888229016,0.117288,0.154243,0.398882,-1.4144337,-2.6196966,-0.043806076
1591888229039,0.118451,0.158925,0.374934,-0.9572606,-2.3053324,-2.6792874
1591888229062,0.114533,0.174242,0.337902,-0.962548,-2.6442356,-0.4829569
1591888229085,0.109329,0.188994,0.31156,-1.5688791,-2.5130372,-1.2219458
1591888229108,0.105263,0.204364,0.283288,-1.7850862,-2.0593326,-1.8818579
1591888229129,0.099314,0.22863,0.238774,-1.2390149,-1.3808883,-1.7762675
1591888229147,0.096456,0.246664,0.210628,-0.031184196,-2.4113343,-0.9463353
1591888229166,0.094781,0.254862,0.196431,-0.18846464,-2.285425,-0.25904274
1591888229188,0.089877,0.279268,0.14897,0.5306511,-2.7032619,-0.19830179
1591888229207,0.089533,0.289839,0.131423,-0.03975773,-2.6534023,-0.0072960854
1591888229230,0.095405,0.334972,0.072433,-1.4918952,-1.7937047,0.3539996
1591888229251,0.105593,0.371421,0.031503,-0.80754566,-4.750931,-1.0066891
1591888229270,0.114048,0.40527,-0.0118,-0.78035736,-3.5846415,1.5445914
1591888229297,0.121143,0.424979,-0.084474,-2.7560325,-2.0571165,2.561473
1591888229317,0.123148,0.425179,-0.109151,-3.2872686,-1.9314269,2.5456839
1591888229340,0.136266,0.421836,-0.183487,-4.358269,-1.355978,1.8410025
1591888229363,0.150319,0.414156,-0.230965,-4.653293,-1.4140944,2.3543272
1591888229383,0.165765,0.39985,-0.27605,-3.8267093,-0.0026455522,0.8401885
1591888229404,0.182202,0.382483,-0.319839,-3.3982334,1.7268052,-1.8616228
1591888229428,0.216174,0.365914,-0.376471,-1.9676952,1.8477106,-3.9559314
1591888229447,0.227771,0.361888,-0.392753,-2.5631437,2.4114406,-5.088012
1591888229467,0.250857,0.359078,-0.42103,-2.4744134,2.6391056,-3.9150097
1591888229489,0.28738,0.36155,-0.452115,1.128583,0.5139301,-1.3085384
1591888229510,0.303544,0.356558,-0.473107,2.6291327,0.10358608,-0.8587036
1591888229531,0.314427,0.348324,-0.496201,3.443882,1.6984316,-3.922065
1591888229551,0.32683,0.344474,-0.516533,4.4739256,2.1809173,-3.078553
1591888229571,0.347585,0.348825,-0.529824,4.522015,1.0603869,-0.15664053
1591888229594,0.378715,0.358295,-0.539282,3.402542,0.14394331,-1.0998206
1591888229615,0.41636,0.370758,-0.546554,0.5386238,1.2850615,-3.427976
1591888229635,0.435097,0.37795,-0.547699,-0.6513748,1.4460216,-3.5840836
1591888229658,0.435097,0.37795,-0.547699,-0.6513748,1.4460216,-3.5840836
1591888229697,0.503101,0.403113,-0.555305,-0.14491844,-1.1336988,-2.5099084
1591888229710,0.505536,0.403037,-0.559623,1.4803972,-0.89660335,-1.4046694
1591888229733,0.519059,0.410619,-0.566806,-2.3935108,-0.8105,3.6353683
1591888229755,0.541834,0.414146,-0.568042,-2.6212826,-1.2297753,0.34505337
1591888229778,0.570396,0.417413,-0.565447,-2.172738,-1.3328707,-1.5117399
1591888229799,0.58951,0.421463,-0.564656,-1.9981089,-0.9598994,-0.7708409
1591888229818,0.596183,0.425937,-0.569123,-0.99732876,-0.9472034,0.4116219
1591888229838,0.599159,0.430844,-0.574716,-0.08373833,-1.7034811,1.6125443
1591888229889,0.616745,0.456343,-0.580955,3.2899938,-3.2403135,-4.9657736
1591888229922,0.624632,0.474558,-0.573944,-0.564435,1.8814735,3.6418972
1591888229966,0.615888,0.502145,-0.583223,3.501533,-2.3605115,-0.7974138
1591888229991,0.610561,0.519827,-0.584217,-3.3872662,-0.42277765,0.55417967
1591888230030,0.611173,0.542191,-0.573428,-1.651659,1.4733603,-0.6293421
1591888230058,0.618421,0.54145,-0.568138,0.77544117,-1.1230226,0.8585274
1591888230084,0.626196,0.531226,-0.569652,-1.1297264,-1.1079569,2.3799248
1591888230112,0.63549,0.515223,-0.573815,-4.831814,2.9419796,-0.91010666
1591888230156,0.671637,0.456372,-0.572512,5.5661755,-4.516821,-2.6300323
1591888230180,0.691589,0.443578,-0.555296,8.19065,-12.217739,1.0415611
1591888230195,0.709073,0.453558,-0.531165,1.4432764,-8.005322,1.4149563
1591888230218,0.709477,0.456519,-0.532582,-1.7440195,-0.6583235,2.8533635
1591888230245,0.716159,0.442651,-0.538671,1.2984071,0.83559537,1.5817323
1591888230268,0.724798,0.430898,-0.537546,3.3332458,0.64443636,1.6891661
1591888230289,-0.727389,-0.423034,0.540081,2.9339714,-0.9639802,0.651994
1591888230320,-0.716503,-0.423023,0.553006,1.7921424,-0.6028156,-1.1193745
1591888230355,-0.688564,-0.442155,0.571959,2.7007985,-2.2059326,-2.2877386
1591888230396,-0.63276,-0.510764,0.576411,-4.2262025,2.495089,-1.6280038
1591888230415,-0.620399,-0.523178,0.577708,-4.9337125,-0.07864189,-0.65053797
1591888230432,-0.620835,-0.522893,0.576862,-3.9678655,-0.9760251,0.14673543
1591888230470,-0.643464,-0.499243,0.568341,1.2118316,-1.2181048,0.13079166
1591888230524,-0.6855,-0.461037,0.529061,2.6416333,0.7000456,1.2730625
1591888230555,-0.698643,-0.446339,0.506139,1.5098062,0.5482216,2.3068442
1591888230581,-0.701468,-0.437707,0.494065,-0.7033925,2.5261965,1.8061739
1591888230617,-0.70794,-0.419388,0.49441,2.5707562,0.18985748,1.1192634
1591888230646,-0.716115,-0.397814,0.481634,2.8771787,-1.0627966,0.5157676
1591888230672,-0.720956,-0.376813,0.461615,1.4564035,-7.1130447,-0.63174486
1591888230696,-0.724162,-0.363607,0.440657,0.039578915,-8.746518,-1.4437542
1591888230721,-0.729922,-0.354986,0.419852,-1.9740767,-2.4058847,1.8719871
1591888230747,-0.740939,-0.342009,0.403639,3.8188593,0.29830074,0.57584476
1591888230761,-0.744297,-0.334513,0.394307,4.180234,0.013189316,-0.3116789
1591888230785,-0.747366,-0.32919,0.37634,2.9907908,-0.8413439,1.2794605
1591888230806,-0.749081,-0.32519,0.353921,2.3565295,-1.3396435,2.1116657
1591888230827,-0.748046,-0.320429,0.331676,1.8024064,-2.7559738,1.489458
1591888230848,-0.744613,-0.315414,0.312054,1.6255498,-3.6175003,0.9983952
1591888230872,-0.741352,-0.309946,0.294465,1.5438383,-2.9394274,0.78600836
1591888230893,-0.73902,-0.299287,0.274127,1.6957169,-0.63379955,1.2709074
1591888230915,-0.737524,-0.292698,0.265077,-0.18207717,1.3775692,0.8661605
1591888230937,-0.736914,-0.286091,0.256666,-1.3284372,0.77188873,1.2236412
1591888230959,-0.736875,-0.277806,0.251286,-1.2494102,-0.8145189,0.93215954
1591888230979,-0.737312,-0.267672,0.249145,-0.60502344,0.5700216,1.1907274
1591888231002,-0.74113,-0.253661,0.245384,-1.3909825,0.48887634,0.98578715
1591888231023,-0.741874,-0.242156,0.237597,-1.2914627,-0.18123531,0.48133588
1591888231048,-0.743025,-0.229245,0.229045,-0.8464699,-0.3559513,0.9150444
1591888231076,-0.744366,-0.210687,0.216076,-0.96855617,-0.0019083023,1.0621948
1591888231094,-0.744481,-0.199994,0.20826,-1.2381343,0.17335606,0.98900163
1591888231118,-0.744243,-0.189783,0.201231,-1.432494,0.40520096,0.7794882
1591888231138,-0.743657,-0.179113,0.194555,-1.0768058,0.5891609,0.5295582
1591888231160,-0.743223,-0.166697,0.186864,-0.53754807,-0.092365265,0.059183836
1591888231182,-0.743758,-0.152565,0.176794,-0.6527347,-1.2115355,0.18262613
1591888231203,-0.744149,-0.138238,0.16591,-0.16634905,-1.0837727,1.1322827
1591888231225,-0.744246,-0.118864,0.151343,0.67022145,-0.048645973,-0.9067339
1591888231251,-0.742913,-0.109786,0.145951,-0.6870229,-0.7651329,-0.6678864
1591888231271,-0.744797,-0.100753,0.138102,-1.0601323,0.45104218,-0.34853625
1591888231291,-0.746846,-0.093625,0.132327,-2.14542,0.42904758,0.19182134
1591888231314,-0.750028,-0.079803,0.123512,-1.4932928,0.70328236,1.6460589
1591888231335,-0.750808,-0.067563,0.1173,-0.40311396,0.07464123,1.5163219
1591888231357,-0.750156,-0.054468,0.109752,0.46089506,-0.43550682,1.1712894
1591888231378,-0.748278,-0.041489,0.100013,0.48510665,-0.2087555,0.30156016
1591888231401,-0.746094,-0.029296,0.088923,-0.27707326,0.39600182,0.05541396
1591888231420,-0.744018,-0.01768,0.077968,-0.4881307,0.35514832,-0.15961707
1591888231443,-0.742246,-0.007088,0.069051,-0.11456597,-0.1804018,-0.09191686
1591888231465,-0.740777,0.007433,0.057125,0.6019233,-0.464818,-0.019620717
1591888231486,-0.74021,0.015584,0.04934,0.29870915,-0.37917233,-0.073114336
1591888231507,-0.739835,0.022858,0.041034,0.14451426,-0.3739376,0.31654155
1591888231528,-0.739387,0.029413,0.032217,-0.3543142,0.10687733,0.51377535
1591888231548,-0.738707,0.034866,0.024502,-0.3821389,0.022922516,0.36446398
1591888231570,-0.737781,0.039452,0.019396,-0.36890852,-0.021988869,0.16476136
1591888231595,-0.736403,0.044031,0.014252,-0.84416133,0.08976078,-0.22433025
1591888231618,-0.734551,0.051709,0.007077,-1.9916567,-0.55563927,-0.32559377
1591888231637,-0.734342,0.057205,0.00393,-1.8086693,-1.235961,0.43671453
1591888231661,-0.735672,0.059016,0.001755,-2.5887265,-0.058547974,0.7401656
1591888231684,-0.735987,0.063013,-0.001387,-1.5860251,0.9448004,0.3494038
1591888231706,-0.735363,0.072951,-0.007778,-0.96790934,0.50971603,0.23339528
1591888231728,-0.73515,0.079365,-0.012746,-1.2621105,0.05969429,-0.18695056
1591888231747,-0.735057,0.085798,-0.018542,-1.3961825,0.048387527,-0.16161048
1591888231768,-0.735362,0.091883,-0.0237,-1.5675765,-0.05061817,-0.09090614
1591888231789,-0.735839,0.098606,-0.028617,-1.4792929,-0.50115776,-0.12385225
1591888231814,-0.736308,0.106509,-0.033541,-1.2020032,-1.054451,-0.011477828
1591888231839,-0.73687,0.121713,-0.042168,-0.7035614,-1.180397,0.67378026
1591888231857,-0.736716,0.133693,-0.048917,-0.2065053,-0.31848335,0.6048382
1591888231885,-0.736193,0.146191,-0.056007,0.14061189,-0.12504196,0.43567032
1591888231905,-0.73581,0.164467,-0.066303,0.715585,0.085451126,-0.41934717
1591888231929,-0.736441,0.175537,-0.071559,0.99388695,-0.03937626,-0.49969268
1591888231957,-0.73903,0.189125,-0.074009,-0.4930029,-1.1533546,3.6516993
1591888231978,-0.738858,0.191381,-0.06176,-16.38044,-0.3410902,2.8231592
1591888231998,-0.73556,0.191442,-0.017288,8.4531975,-2.7979774,-4.935828
1591888232018,-0.737486,0.193562,0.012287,4.7573814,0.3776102,-2.515392
1591888232037,-0.740118,0.208513,0.020577,5.466671,0.019234657,-2.2158623
1591888232061,-0.742838,0.227433,0.014731,3.4798675,-1.6064558,-2.1306038
1591888232077,-0.746924,0.243775,0.005587,2.1056695,-2.1220121,-0.87134886
1591888232101,-0.751187,0.254775,-0.001159,1.5796273,-1.7465401,0.48438668
1591888232126,-0.756449,0.264553,-0.008899,1.3408338,-0.25029945,1.6829226
1591888232147,-0.757716,0.269609,-0.015823,0.88789845,0.8508816,0.76313543
1591888232167,-0.757298,0.275052,-0.02404,1.1070129,1.4213815,0.10973287
1591888232190,-0.756704,0.282178,-0.035054,-0.0060760975,1.6163673,0.5291152
1591888232217,-0.755245,0.293611,-0.048926,-0.8384156,0.8870058,0.05949235
1591888232240,-0.754216,0.300974,-0.05588,-1.1828318,0.49513626,0.1963005
1591888232261,-0.752534,0.307938,-0.061068,-0.6874633,0.5262089,0.7038276
1591888232281,-0.749782,0.314945,-0.065991,-0.1811769,0.69046783,0.63412094
1591888232303,-0.7463,0.321804,-0.072537,0.66927874,1.1792259,0.29198623
1591888232326,-0.741773,0.329358,-0.08334,1.2873148,1.734447,-0.32786536
1591888232351,-0.739412,0.332456,-0.090726,-0.4534974,1.6384091,5.136224
1591888232376,-0.733395,0.332946,-0.09819,-0.9594917,1.4756703,8.256147
1591888232397,-0.727321,0.31473,-0.089444,0.81515455,1.6160517,-3.7854433
1591888232422,-0.728708,0.308298,-0.091347,0.15738678,1.7191782,-3.2785356
1591888232444,-0.731199,0.302207,-0.095039,-0.3798592,0.52902985,-2.1907487
1591888232469,-0.734455,0.296534,-0.10266,-1.5082088,-1.1497774,-1.4957685
1591888232493,-0.734865,0.298445,-0.109773,-2.5553737,-2.1201239,-2.4313328
1591888232516,-0.733301,0.308033,-0.11891,-0.5831773,-1.5125151,-1.6392496
1591888232537,-0.729445,0.326416,-0.133642,-0.89884555,-0.5279808,-0.4484887
1591888232558,-0.726192,0.336954,-0.140512,-1.4147873,-1.9314785,0.20389366
1591888232579,-0.722914,0.345358,-0.144395,-1.7121516,-2.7278624,0.06517053
1591888232600,-0.720099,0.353028,-0.147271,-0.8249953,-4.341259,0.35393
1591888232627,-0.716008,0.363927,-0.153988,2.0481098,-2.0388355,-0.019854307
1591888232649,-0.714875,0.369567,-0.161583,2.8707125,1.7864461,1.0015615
1591888232674,-0.714781,0.371752,-0.169387,1.0098238,2.9531832,3.3483536
1591888232699,-0.712692,0.368258,-0.177516,-1.3210465,0.33640003,1.1944451
1591888232722,-0.70975,0.365669,-0.181019,-1.3462824,-0.11726856,0.7782086
1591888232743,-0.703901,0.36974,-0.190605,-0.9103826,-0.26537323,1.5151464
1591888232766,-0.695481,0.378836,-0.20526,0.22527695,-0.26328278,2.88768
1591888232786,-0.686066,0.388097,-0.220699,1.2496109,-0.5888586,3.1932602
1591888232808,-0.672081,0.396639,-0.243048,1.3283243,-0.76252556,2.0088596
1591888232830,-0.66441,0.398532,-0.254644,1.3654506,-0.7973633,-0.8442844
1591888232851,-0.660435,0.398296,-0.261899,0.95538783,-0.45184612,-0.9584435
1591888232872,-0.659389,0.39754,-0.265938,-0.53525376,0.11766529,0.6355747
1591888232897,-0.658297,0.396785,-0.268733,-1.1835263,0.25120544,2.0082119
1591888232923,-0.653062,0.395611,-0.272044,-0.95866823,0.43986607,1.8194069
1591888232948,-0.645371,0.393595,-0.273991,-0.41540146,0.69124603,0.5244928
1591888232973,-0.640098,0.392744,-0.276698,0.1748845,0.39978218,-0.121980906
1591888232993,-0.635515,0.392285,-0.280711,-0.05771184,0.111359596,0.03402543
1591888233019,-0.630188,0.391416,-0.286504,-0.304263,-0.056396484,0.26193488
1591888233042,-0.627359,0.390441,-0.289259,-0.5823927,0.022702217,-0.10531801
1591888233069,-0.6245,0.387629,-0.290242,-0.54350364,-0.11382198,-0.06279963
1591888233088,-0.622935,0.385461,-0.290438,0.3277051,-0.7573843,-0.035796642
1591888233108,-0.621577,0.38297,-0.29178,0.27266783,-0.57042694,-0.30281717
1591888233128,-0.621089,0.379552,-0.293341,-0.17817497,0.13987446,-0.45441836
1591888233162,-0.621612,0.373354,-0.294834,-0.38553125,0.23848343,-0.6792468
1591888233181,-0.622389,0.368162,-0.295133,-0.58980703,0.22028065,-0.78368455
1591888233198,-0.624193,0.362046,-0.293931,-0.7994704,0.24621582,-0.8678725
1591888233227,-0.628702,0.352743,-0.289859,-1.8885877,0.11653042,-0.5546896
1591888233244,-0.630358,0.350321,-0.2885,-2.4548008,0.08909416,-0.29100645
1591888233266,-0.633124,0.347358,-0.28627,-2.9159045,0.17607021,0.01712364
1591888233288,-0.634895,0.346407,-0.283775,-2.2250466,0.1381073,-0.33246073
1591888233311,-0.634869,0.346811,-0.281449,-1.6775954,-0.63379097,-0.504793
1591888233338,-0.634023,0.348765,-0.276777,-1.2476778,-1.1692953,-0.44172683
1591888233358,-0.633372,0.350463,-0.273217,-0.86372685,-1.2870922,-0.41786253
1591888233385,-0.633844,0.353453,-0.265559,-1.0014578,-1.1247625,-0.3840044
1591888233404,-0.634876,0.35441,-0.261618,-1.3619645,-1.0017691,-0.8861444
1591888233424,-0.642573,0.353172,-0.244286,-1.0342566,-1.3837862,-0.43513578
1591888233448,-0.655239,0.343908,-0.216036,4.728354,-2.8670855,6.050371
1591888233467,-0.656947,0.334259,-0.208376,-1.0059005,0.08894348,-5.153025
1591888233490,-0.661995,0.330203,-0.196964,-0.1791507,1.6466203,-3.66986
1591888233512,-0.667931,0.334633,-0.187775,0.8106906,1.6539235,-3.057413
1591888233540,-0.67494,0.356064,-0.184878,2.2508426,-0.6221647,0.2020539
1591888233567,-0.678664,0.367833,-0.183444,2.150417,-1.9835672,1.0354612
1591888233593,-0.690876,0.364275,-0.160922,-1.0610251,-0.95735455,-0.4809115
1591888233616,-0.699366,0.360308,-0.141464,-0.7372794,-2.6098185,-1.3688486
1591888233637,-0.704993,0.360924,-0.128365,-1.2034993,-0.14976501,-0.15405583
1591888233660,-0.705867,0.368163,-0.117692,-0.558599,-0.32494354,-2.025575
1591888233679,-0.705668,0.380164,-0.11358,-0.48706722,0.76649284,-0.14543247
1591888233701,-0.704564,0.392827,-0.109014,0.119627,1.286344,0.7319031
1591888233721,-0.701903,0.403573,-0.10337,0.6622708,0.26717567,1.3937943
1591888233742,-0.698366,0.412435,-0.098124,1.371868,0.6262884,0.9716039
1591888233770,-0.693914,0.422786,-0.097271,1.5238193,1.5578394,-0.14641547
1591888233806,-0.691783,0.431494,-0.100553,1.7159296,2.532514,-0.53488755
1591888233822,-0.691434,0.435175,-0.103741,1.5337362,1.8454814,0.219738
1591888233843,-0.692034,0.43575,-0.107303,1.4772258,2.2155294,0.9784887
1591888233871,-0.690534,0.43461,-0.121369,0.46923947,1.7878671,1.3493216
1591888233892,-0.687156,0.433149,-0.136679,0.04925251,1.8860884,1.005724
1591888233915,-0.682576,0.429998,-0.151354,0.13110924,1.5516253,-0.4396279
1591888233935,-0.677796,0.426626,-0.164706,-1.2389629,0.80018425,-1.7347622
1591888233958,-0.676454,0.418566,-0.172222,-1.5065877,-0.028772354,-2.413999
1591888233981,-0.676759,0.415453,-0.175934,-2.4121454,-0.89564514,-2.2006388
1591888234001,-0.676723,0.416092,-0.17881,-1.385608,-1.8117323,-0.5630653
1591888234024,-0.674976,0.418906,-0.18212,-1.0811975,-0.86230946,-0.6518836
1591888234053,-0.668541,0.425079,-0.190098,-1.9608395,-1.3827257,-3.0608678
1591888234079,-0.665846,0.429176,-0.191186,-1.0444162,-3.9783497,-0.13216448
1591888234102,-0.667243,0.429682,-0.18196,0.96465933,-2.2704039,-0.33851337
1591888234127,-0.668896,0.427121,-0.175768,1.9101791,-1.0379467,-0.7356808
1591888234146,-0.671031,0.425405,-0.174226,2.3642442,1.1990018,0.69717383
1591888234175,-0.666324,0.431927,-0.197182,2.2171538,0.6176424,-1.2440133
1591888234195,-0.667344,0.435771,-0.209848,-0.45628905,1.0917997,2.6645596
1591888234216,-0.672557,0.430853,-0.207477,-0.9258561,0.89528084,3.1776648
1591888234238,-0.667433,0.428444,-0.211262,0.18887115,0.39454937,2.4469264
1591888234258,-0.65815,0.430766,-0.22083,1.2168157,-0.65808964,-2.642008
1591888234281,-0.652843,0.439804,-0.231817,0.050964832,-0.5109577,3.0909882
1591888234302,-0.646878,0.444939,-0.240176,1.6616641,-0.28138447,2.9562082
1591888234328,-0.63919,0.448398,-0.252177,2.347187,-1.5359764,1.9633476
1591888234353,-0.638956,0.44336,-0.269213,-2.0566413,-1.5752916,2.5230024
