@ HyperIMU - ianovir
@ Date:Thu Jun 11 17:03:24 GMT+02:00 2020, Sampling Rate:20ms

timestamp,Samsung_Rotation_Vector.x,Samsung_Rotation_Vector.y,Samsung_Rotation_Vector.z,Linear_Acceleration_Sensor.x,Linear_Acceleration_Sensor.y,Linear_Acceleration_Sensor.z
1591887804246,0.0,0.0,0.0,0.0,0.0,0.0
1591887804269,0.099766,-0.021359,-0.450629,3.9651785,-0.72220874,-1.8115153
1591887804291,0.09895,-0.017195,-0.447234,2.996023,-0.83177483,-0.82422066
1591887804318,0.109076,0.023542,-0.429279,0.78152233,-2.2028158,0.9101286
1591887804337,0.112892,0.033112,-0.424671,0.39796984,-2.1523573,0.32204723
1591887804358,0.119551,0.049274,-0.415384,0.5847771,-1.8630633,-0.10751629
1591887804381,0.138046,0.080778,-0.391729,0.07312584,-0.38885105,-1.648016
1591887804407,0.154298,0.116548,-0.35533,2.7300699,-1.7566378,-0.23840904
1591887804433,0.154474,0.132649,-0.333929,2.8961816,-0.011389732,1.5652294
1591887804460,0.142293,0.13476,-0.308299,6.754208,-0.15257847,-0.026935577
1591887804498,0.12341,0.132931,-0.293238,2.424453,-0.9448499,0.4109516
1591887804528,0.11713,0.148601,-0.274134,1.0650146,-0.32323098,0.76474
1591887804560,0.107148,0.146007,-0.255239,1.908237,-0.8915262,0.24614143
1591887804606,0.083466,0.136458,-0.230137,0.95862067,-0.1773566,1.2778969
1591887804637,0.082992,0.144267,-0.215259,1.0452266,-0.27727008,0.69443893
1591887804671,0.088006,0.161742,-0.182102,2.1309752,-1.00572,0.66769314
1591887804711,0.085063,0.173426,-0.154199,0.22753191,-0.17988205,0.27241516
1591887804738,0.090246,0.190014,-0.134763,2.1041298,-1.3816549,1.1243696
1591887804761,0.092149,0.196789,-0.124494,1.339962,-1.2213602,0.47626305
1591887804785,0.092885,0.200394,-0.118656,0.5157864,-1.000334,-0.28548717
1591887804810,0.100772,0.219805,-0.112855,0.09926224,-1.5499586,-0.6629982
1591887804823,0.105494,0.231566,-0.111664,1.1413846,-2.9577055,3.1928988
1591887804851,0.123395,0.265081,-0.118607,0.1877904,-0.65753675,-0.18322754
1591887804869,0.132568,0.275385,-0.12789,0.4892912,-0.5485873,-1.1269231
1591887804890,0.134816,0.277918,-0.132584,1.2272587,-0.9822987,-0.39569998
1591887804912,0.137207,0.283518,-0.148737,3.3262029,-3.5414484,1.9844084
1591887804933,0.141569,0.289735,-0.169664,0.28735924,-2.4141014,-0.727931
1591887804955,0.148151,0.298301,-0.197769,-1.5662198,-0.2552246,-4.4537
1591887804977,0.152433,0.309111,-0.224489,-2.4484777,0.97750676,-4.167988
1591887805000,0.145831,0.321525,-0.253773,-1.4269376,1.4164977,-1.8311758
1591887805021,0.132832,0.320449,-0.266306,-1.1313386,0.9397693,-1.5207138
1591887805041,0.116558,0.317201,-0.274976,-1.8258643,2.0472872,-0.12057209
1591887805063,0.103975,0.318062,-0.279947,-1.7648749,3.0239635,-0.68622303
1591887805088,0.091114,0.322873,-0.277673,-1.4864464,2.783409,-0.6605897
1591887805108,0.076923,0.320105,-0.270668,-0.15157318,1.3281367,1.2952614
1591887805128,0.058806,0.315166,-0.260027,0.64594173,0.06599268,4.6117
1591887805149,0.050388,0.315931,-0.25169,1.8694344,-0.80121934,5.383675
1591887805173,0.051905,0.319941,-0.250259,3.02269,-0.50282264,3.2890644
1591887805196,0.058611,0.324717,-0.25507,2.155049,-0.58873,0.73986197
1591887805220,0.06855,0.332442,-0.269804,1.8327317,-1.0732507,0.2081871
1591887805240,0.073052,0.339417,-0.282832,1.8802338,-0.75581485,-0.72172356
1591887805263,0.077371,0.3497,-0.298732,0.52758837,0.4192708,-2.5500636
1591887805284,0.081883,0.362568,-0.315257,-0.2516842,0.58811104,-3.8981173
1591887805309,0.086562,0.388682,-0.33332,-1.0502076,1.2313733,0.68491554
1591887805328,0.09473,0.408149,-0.342895,-3.3014631,2.042382,1.1786146
1591887805356,0.109251,0.425115,-0.349463,-3.4251666,2.6580224,-1.0311289
1591887805376,0.126925,0.438825,-0.350557,-2.5894933,1.7839699,-4.6028547
1591887805396,0.139768,0.459559,-0.344225,1.3145647,0.4722251,-0.87342167
1591887805417,0.146902,0.482046,-0.335615,2.7309413,-0.28842217,-3.5210013
1591887805440,0.146902,0.482046,-0.335615,2.7309413,-0.28842217,-3.5210013
1591887805460,0.146902,0.482046,-0.335615,2.7309413,-0.28842217,-3.5210013
1591887805489,0.146902,0.482046,-0.335615,2.7309413,-0.28842217,-3.5210013
1591887805635,0.223959,0.817094,-0.350704,-1.9319096,4.5787954,-1.5606709
1591887805654,0.223959,0.817094,-0.350704,-1.9319096,4.5787954,-1.5606709
1591887805672,0.223959,0.817094,-0.350704,-1.9319096,4.5787954,-1.5606709
1591887805693,0.223959,0.817094,-0.350704,-1.9319096,4.5787954,-1.5606709
1591887805715,0.223959,0.817094,-0.350704,-1.9319096,4.5787954,-1.5606709
1591887805738,0.223959,0.817094,-0.350704,-1.9319096,4.5787954,-1.5606709
1591887805769,0.012829,0.792308,-0.407578,-1.184289,0.91615915,-6.955703
1591887805791,-0.022676,0.798744,-0.391074,4.8566523,-5.179603,-8.914823
1591887805810,-0.056405,0.792377,-0.359319,2.8225017,-8.081611,-4.112239
1591887805835,-0.08495,0.786533,-0.32509,4.96132,-8.992548,-0.40957117
1591887805854,-0.112085,0.791762,-0.315305,2.3532457,-1.4240265,2.050315
1591887805888,-0.149417,0.794499,-0.320246,-3.444981,6.2388425,0.121812105
1591887805927,-0.166613,0.792324,-0.310953,-0.26973295,4.1316104,-7.7619467
1591887805935,-0.166007,0.794704,-0.30878,1.6590981,3.2586462,-6.4084864
1591887805953,-0.166007,0.794704,-0.30878,1.6590981,3.2586462,-6.4084864
1591887805970,-0.169381,0.80363,-0.306953,-0.47180557,1.3910241,-3.7983947
1591887805987,-0.177723,0.809941,-0.297105,-0.8030424,0.11131954,-1.2314007
1591887806009,-0.188993,0.810685,-0.289317,-5.407007,1.7191606,-4.9144363
1591887806030,-0.185329,0.814829,-0.281732,-2.2586937,-3.7581158,-2.0486188
1591887806051,-0.184685,0.818658,-0.27676,-1.2825918,-1.3667345,-0.74066496
1591887806087,-0.187169,0.816526,-0.277743,-0.2744565,5.3385777,-4.5283856
1591887806100,-0.181157,0.822552,-0.282049,0.39233065,7.633461,-1.7898846
1591887806118,-0.178097,0.826589,-0.283191,2.3736846,8.063523,0.993536
1591887806148,-0.163534,0.838486,-0.302721,0.35408974,5.1222253,6.3531647
1591887806177,-0.133186,0.846187,-0.330006,0.5371914,1.3941016,4.33841
1591887806194,-0.08374,0.857576,-0.366224,6.9574122,-19.30326,4.8102937
1591887806215,-0.060836,0.860436,-0.402305,-0.25221682,-18.178509,5.423526
1591887806235,-0.090884,0.850667,-0.42235,2.420367,-2.8009825,4.658348
1591887806253,-0.121539,0.835199,-0.440688,3.8066099,-1.756319,1.2003627
1591887806288,-0.154235,0.803965,-0.489461,4.6123505,-3.021206,2.338754
1591887806301,-0.163621,0.791754,-0.519805,1.4943427,-2.6642027,2.0534055
1591887806322,-0.168842,0.787093,-0.531935,-3.9333458,-1.7786894,2.9343448
1591887806345,-0.17831,0.777556,-0.555403,-3.4827037,0.8443451,3.6303303
1591887806368,-0.164787,0.780396,-0.563379,-2.815679,-0.25751877,3.748219
1591887806388,-0.156488,0.778762,-0.564656,-3.6475635,-2.2065468,-0.2207973
1591887806426,-0.141688,0.778683,-0.552967,3.65881,3.1376476,-0.1254046
1591887806447,-0.136794,0.780423,-0.546968,2.3631144,4.2992883,1.6201618
1591887806468,-0.136794,0.780423,-0.546968,2.3631144,4.2992883,1.6201618
1591887806484,-0.133994,0.782436,-0.541381,-0.02067256,4.3553534,2.3948545
1591887806516,-0.139035,0.785262,-0.519531,1.565276,-0.35103512,1.8167968
1591887806556,-0.148585,0.78557,-0.505237,2.8530242,0.119026184,1.0206153
1591887806591,-0.164356,0.781876,-0.490394,0.9224584,-0.87725544,1.4396092
1591887806613,-0.173941,0.776731,-0.484203,0.042135477,-0.415349,0.71862626
1591887806619,-0.173941,0.776731,-0.484203,0.042135477,-0.415349,0.71862626
1591887806631,-0.182626,0.771609,-0.479233,-1.0928049,-0.6797285,-0.2764275
1591887806651,-0.189966,0.768621,-0.474748,-1.8162718,-1.1676054,-0.20770502
1591887806676,-0.195367,0.7663,-0.473226,-3.5667672,-2.0331755,-0.27746272
1591887806702,-0.200085,0.76173,-0.477441,-3.3293312,-1.2456388,-1.6156709
1591887806720,-0.20266,0.758023,-0.483241,-2.784166,-0.7604246,-1.1862688
1591887806751,-0.204467,0.752826,-0.496016,-2.0905774,0.51384926,-0.26757264
1591887806766,-0.204036,0.751087,-0.501247,-1.8752444,1.0464258,-0.07570982
1591887806789,-0.200587,0.745674,-0.518428,-1.7856092,2.0456967,-0.17579257
1591887806811,-0.196742,0.741731,-0.530813,-1.5660875,2.9974618,0.16525173
1591887806834,-0.192469,0.73776,-0.542751,-1.3093126,3.609439,0.20655155
1591887806858,-0.184805,0.734243,-0.557657,-2.0156603,2.480986,0.26378644
1591887806882,-0.177841,0.734328,-0.566388,-3.395487,1.210495,1.0068121
1591887806903,-0.167504,0.735668,-0.574681,-3.561044,0.34047222,1.6506169
1591887806923,-0.153293,0.73688,-0.583464,-3.0768254,-0.2392044,1.1149575
1591887806942,-0.136757,0.737953,-0.592097,-3.1055405,-0.53367615,0.6784181
1591887806968,-0.118874,0.740126,-0.598859,-3.0532448,-1.3400383,0.30697775
1591887806986,-0.099756,0.744588,-0.60258,-2.8197286,-1.4880266,1.7507942
1591887807008,-0.066858,0.75376,-0.604456,-0.8535547,-0.11334038,3.3134809
1591887807029,-0.055355,0.756841,-0.604418,-0.08773303,0.515398,3.9230878
1591887807050,-0.019435,0.764716,-0.604418,1.2824473,1.4598322,3.7438736
1591887807072,0.004684,0.768375,-0.604894,0.937824,-0.3582163,2.7742815
1591887807093,0.025975,0.771079,-0.604486,1.1031637,-2.9975996,2.0355215
1591887807113,0.043026,0.772641,-0.603472,2.5333471,-4.288741,0.013294578
1591887807135,0.056127,0.775388,-0.6009,1.814316,-3.4924421,-1.525084
1591887807157,0.069099,0.782008,-0.593538,2.305942,-1.5253677,0.07133007
1591887807177,0.08321,0.79096,-0.58144,3.2226949,-0.5398922,1.8022859
1591887807198,0.089767,0.79527,-0.574864,3.350655,-0.40995026,2.4159267
1591887807219,0.115224,0.807595,-0.55421,1.5741074,-0.7917719,4.2968187
1591887807239,0.131603,0.80908,-0.55057,0.9942763,-0.737916,4.078422
1591887807262,0.147947,0.80831,-0.549012,-0.10347462,-0.41385746,2.6926765
1591887807282,0.160302,0.805785,-0.548257,0.43713856,-0.96801186,1.9021156
