@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:35:56 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
0.0,0.0,0.0,0.0,0.0,0.0
0.3127,-0.9271,-0.8594,0.262945,0.188517,0.255895
0.7646,-1.6437,0.4991,0.264267,0.188706,0.254995
0.3814,-2.0246,2.8279,0.250804,0.178275,0.258378
0.2244,-2.4519,3.8574998,0.252108,0.17923,0.258188
1.1288999,-2.688,4.2123,0.24254599,0.173029,0.262752
2.7926998,-4.9193,1.0643,0.228229,0.158668,0.276386
1.1401,-0.83339995,-1.7369,0.223179,0.152094,0.283675
0.4766,-2.569,0.6756,0.220905,0.141943,0.283452
0.36769998,-2.7384,0.8991,0.216288,0.139864,0.285931
-0.0975,-2.7344,0.97279996,0.217621,0.140515,0.285479
-0.5941,-2.1667,1.9674,0.213672,0.1402,0.286635
-1.2775999,-6.2214,2.7045999,0.194894,0.137528,0.292474
0.987,-8.9187,4.4388,0.180431,0.131389,0.299554
0.92859995,-5.1122,8.4254,0.17355,0.124342,0.314878
1.3844,-3.9278998,5.8426,0.182737,0.111806,0.327308
0.49839997,-3.1292999,2.2635999,0.20767,0.09636,0.333304
-0.99609995,-4.3024,-2.0233998,0.242367,0.087133996,0.331601
-0.7219,-0.8278,-2.7403998,0.289514,0.102259,0.319446
0.047799997,-2.3444998,-0.5093,0.29552498,0.100957,0.334418
-0.7109,-5.1632,1.9152,0.284584,0.098285,0.35564598
-2.2203999,-4.0295,2.9389,0.282104,0.072554,0.364682
-2.7398,-5.2349997,0.4904,0.291319,0.040475998,0.373484
-2.2207,-6.4202,-0.9948,0.308562,-0.008197,0.387619
-2.5112998,-6.7328997,-2.6964998,0.326965,-0.064104,0.410197
-3.7728999,-7.0913,-5.5987997,0.346637,-0.124022,0.440936
-4.7386,-6.8749,-6.9133,0.367421,-0.184437,0.479243
-6.1941,-6.3617997,-5.6875,0.386925,-0.247597,0.514323
-5.6815,-4.8377,-3.7759,0.383532,-0.33374,0.577634
-4.2483,-4.3318,-3.1669,0.380898,-0.35559,0.591737
-1.2713,-2.4510999,5.3412,0.35637,-0.409666,0.643706
0.8109,-0.2997,4.7443,0.347015,-0.438147,0.669671
5.2384,1.0084,5.2295,0.338869,-0.45913,0.693542
8.2989,1.826,7.8532,0.326375,-0.472634,0.715716
10.124499,2.8876998,6.7862,0.313273,-0.477873,0.734877
9.4925995,3.8037999,3.7767,0.304383,-0.475825,0.750726
8.2512,4.3712997,1.7371,0.301279,-0.465082,0.764109
7.6446996,4.8331,-1.3109,0.304146,-0.45294,0.772375
6.3406,5.3754997,-2.1613998,0.312366,-0.440711,0.776248
9.0331,6.1768,-4.9122,0.331303,-0.43218198,0.77274
5.5495996,5.121,-2.4215,0.35445,-0.429416,0.75964
1.7621,2.9050999,2.6476998,0.369062,-0.423424,0.749143
-2.1055999,2.6971,7.0123,0.370783,-0.40688,0.749847
-5.542,2.2726,4.2966,0.374042,-0.382963,0.758413
-5.6598,1.2472,-1.0478,0.392176,-0.36438,0.766045
-3.9620998,-2.059,-8.2403,0.423028,-0.36525,0.764985
-3.8813,-2.6664999,-5.6445,0.459499,-0.391876,0.753019
-4.7407,-3.0611,-1.5529,0.448908,-0.405958,0.76011
-8.1827,-0.3193,1.3712,0.441844,-0.411322,0.76353097
16.0852,-7.3615,14.171499,0.413395,-0.422082,0.78698
5.5709,3.1527,-12.8446,0.443635,-0.431038,0.777054
4.0175,1.2562,-5.4007998,0.460883,-0.43269,0.771371
2.4835,4.5320997,1.5864999,0.449799,-0.442234,0.773934
0.91099995,4.2074,1.8115,0.437539,-0.45434,0.774505
1.4231,2.5165,1.2149999,0.431257,-0.458768,0.776269
-2.6043,-2.3762999,1.1748999,0.419754,-0.475088,0.773274
-0.8932,-4.5829,-0.49539998,-0.404979,0.495208,-0.768589
1.0282999,-2.6845,-0.21869999,-0.393063,0.512197,-0.763289
-1.3191,1.4175999,-0.19479999,-0.383826,0.524637,-0.758632
1.8103,1.4228,-1.8087,-0.394947,0.552082,-0.727721
0.8501,2.3481,-1.2973,-0.399689,0.557766,-0.719207
0.037699997,2.1706,-0.9756,-0.377777,0.587399,-0.700707
0.92539996,1.3263999,-0.1051,-0.363066,0.608129,-0.682405
4.5067997,0.103099994,0.926,-0.349384,0.622614,-0.666923
3.2911,0.60969996,-0.3301,-0.32971,0.622863,-0.674639
3.2689,0.116399996,-0.706,-0.316858,0.620164,-0.682778
2.462,-0.1619,-0.21149999,-0.305919,0.618973,-0.687919
1.5325999,-0.198,0.0188,-0.291235,0.621806,-0.691279
0.9914,1.1243,-0.0116,-0.279188,0.627263,-0.689781
0.5977,1.5986999,0.2874,-0.271945,0.631822,-0.685434
2.2812998,3.5047,-0.2487,-0.27,0.635544,-0.680381
2.2529,1.2502999,0.7644,-0.267925,0.638586,-0.673472
1.1881,3.9115999,2.0878,-0.26566198,0.637083,-0.669446
1.5566,2.2117999,-0.8551,-0.259713,0.631621,-0.669971
2.7043,-1.2001,-4.4469,-0.252885,0.624755,-0.670368
2.5547,0.5146,-0.69159997,-0.247766,0.61955297,-0.670214
0.25149998,3.1722999,1.6445,-0.240854,0.622363,-0.665803
2.5755,2.7817,0.3484,-0.231037,0.625208,-0.663412
3.6418,0.81399995,-1.378,-0.226968,0.620664,-0.666629
3.4491,-2.7307,-1.2056,-0.224475,0.612078,-0.675402
4.1888,-5.4884996,-0.60499996,-0.219355,0.605831,-0.685467
3.47,-5.1926,-0.4851,-0.223627,0.60519,-0.685127
1.1965,-4.1482997,-0.43699998,-0.22348,0.605204,-0.674855
0.23619999,-0.7981,-1.1149,-0.212204,0.602597,-0.658843
0.70589995,0.8131,-1.8283999,-0.207554,0.598912,-0.650578
0.7039,-2.0822,-0.8953,-0.207409,0.596934,-0.643929
2.3673,-2.8455,-0.7992,-0.214041,0.595764,-0.637936
2.4324,-2.3467,-1.7211,-0.221475,0.593461,-0.635245
1.3317,-2.8027,-2.9968998,-0.22633,0.592007,-0.63579
1.5030999,-2.9127,-3.6281998,-0.233329,0.592087,-0.636347
1.2573999,-2.0716,-2.6618,-0.241579,0.59407,-0.637532
1.6018,2.734,-0.797,-0.249415,0.596785,-0.644852
1.745,3.6378,-1.5166,-0.247117,0.596326,-0.648802
3.0927,0.5787,-0.81939995,-0.254889,0.591818,-0.659739
3.744,-1.7341,-1.7028999,-0.260515,0.59102,-0.660346
2.5848,-1.2958,-0.106599994,-0.268191,0.587907,-0.661157
-0.1946,-0.9133,1.0E-4,-0.272947,0.585239,-0.663463
-1.3773,0.0324,-0.8771,-0.278221,0.58384,-0.664826
0.236,2.0137,-0.22379999,-0.28406,0.586428,-0.665429
2.324,2.2440999,-0.723,-0.288618,0.592733,-0.664343
4.0039997,1.9201,-0.2454,-0.291239,0.596796,-0.665087
3.3165,1.1029,0.6462,-0.283663,0.602482,-0.670016
3.4698,-0.0942,0.1815,-0.278142,0.604478,-0.67534
3.2301,-0.2771,-0.59529996,-0.274276,0.607384,-0.67844
2.2461,-0.25779998,-0.4193,-0.273747,0.611292,-0.677991
2.0049,2.0365999,0.4278,-0.2762,0.614433,-0.676944
2.6035,-0.2408,-0.9485,-0.280512,0.616807,-0.675578
1.5497999,0.6861,-1.4085,-0.280009,0.620303,-0.675129
1.5917,0.2826,-1.6421,-0.282265,0.625381,-0.671955
1.5234,0.48369998,-0.47559997,-0.28432,0.629609,-0.669143
1.0604,0.4764,-0.68979996,-0.28432,0.633236,-0.667656
1.4235,0.2631,-1.0088999,-0.28482,0.637128,-0.665236
1.9354,0.0751,-0.8088,-0.288365,0.641564,-0.66225
1.984,0.1265,-0.65209997,-0.285155,0.642989,-0.662263
1.3148999,0.3974,-0.807,-0.28537,0.644917,-0.662861
1.5087999,0.49429998,-0.613,-0.283684,0.645959,-0.663861
1.7126,0.5416,-0.96669996,-0.28276598,0.647112,-0.664467
1.9383999,0.5883,-1.2193999,-0.282607,0.648428,-0.664591
1.8306999,0.7425,-1.0648999,-0.28299,0.649708,-0.664347
1.7542,0.7888,-0.7617,-0.282891,0.65087,-0.664459
2.1922998,0.79459995,-0.7902,-0.282727,0.651745,-0.665159
2.6743999,0.7008,-0.82729995,-0.282484,0.652319,-0.666453
2.421,0.6155,-0.8333,-0.282257,0.652946,-0.667876
2.0579998,0.7069,-0.47829998,-0.28187,0.653575,-0.66917497
1.6471,0.7008,-0.67829996,-0.281826,0.654206,-0.669972
1.6557,0.1997,-0.62369996,-0.278032,0.655281,-0.67183
1.8712,0.5387,-0.5667,-0.276829,0.65572,-0.673078
1.4415,0.99429995,-0.3789,-0.276521,0.655908,-0.67409
1.0572,0.8322,-0.82449996,-0.276372,0.656945,-0.674189
1.5432,0.4349,-0.9798,-0.276349,0.658918,-0.673295
2.5219998,0.6429,-0.816,-0.276987,0.66081,-0.67235297
2.9459999,0.9744,-0.78029996,-0.27743,0.662756,-0.671924
2.583,1.009,-0.88809997,-0.277404,0.665028,-0.671661
1.9772999,1.2593,-1.2766,-0.277358,0.667817,-0.670668
2.8271,0.6516,-1.0553,-0.282556,0.672199,-0.66677
2.9959998,0.3608,-1.3993,-0.284805,0.676048,-0.663548
2.4197,-0.1312,-1.8449,-0.286845,0.680922,-0.659392
1.9892,-0.44059998,-1.6939,-0.289318,0.686242,-0.654279
1.2866,-0.4409,-1.8558999,-0.292922,0.692509,-0.647137
-0.17459999,-0.6893,-2.4095,-0.297294,0.700544,-0.636889
-1.2990999,-0.8646,-1.9878,-0.300964,0.710329,-0.624336
-1.0016,-0.8849,-1.4756,-0.302951,0.7211,-0.611261
-0.089099996,-0.1752,-0.94619995,-0.304104,0.731623,-0.598931
0.8285,0.3816,-0.6617,-0.304329,0.742054,-0.587227
0.8583,-0.07,-0.4252,-0.299745,0.758268,-0.57070297
0.43199998,0.2193,-0.438,-0.300666,0.763062,-0.564564
-0.0075,1.3830999,-0.073199995,-0.29461,0.779724,-0.546057
0.3832,1.5123,0.594,-0.290664,0.791076,-0.532456
0.7062,1.5311999,1.0957999,-0.285266,0.801869,-0.520021
1.0110999,1.3503,1.1929,-0.278607,0.811603,-0.509482
1.6207,1.3234,1.2961,-0.270513,0.820614,-0.500408
1.9484999,1.6699,1.5016999,-0.261622,0.828926,-0.492471
2.2154,1.7061,1.6359999,-0.252971,0.836315,-0.485345
2.6861,1.48,1.5927,-0.245285,0.842342,-0.479437
3.1365,1.27,1.3884,-0.238902,0.846887,-0.47497
3.3945,1.5788,1.3964,-0.23387,0.850295,-0.471488
2.6966999,1.8240999,1.2691,0.230325,-0.853613,0.46689
2.6,1.3061999,0.7607,0.227839,-0.85549897,0.464327
2.6258,1.2398,0.59169996,0.22709,-0.856504,0.462496
2.2151,1.4659,0.86829996,0.227181,-0.856832,0.461455
1.7202,1.2827,0.9116,0.227005,-0.856999,0.460744
1.4667,0.6634,0.4294,0.226547,-0.857362,0.45986798
1.3517,0.53929996,0.073199995,0.226471,-0.857871,0.458698
1.2351999,0.8922,0.191,0.226439,-0.85846597,0.457315
0.8674,0.93659997,0.34759998,0.225965,-0.859164,0.456006
0.9483,0.7478,0.2351,0.225329,-0.859777,0.454905
1.1012,0.7162,0.0257,0.224517,-0.860466,0.453743
1.1321,0.81299996,0.0138,0.223768,-0.861182,0.45253
0.9981,0.9097,0.1206,0.222869,-0.861963,0.451257
0.6856,1.0224999,0.120799996,0.219571,-0.863682,0.449472
0.73289996,0.9662,0.14639999,0.218624,-0.86439,0.448378
0.7693,0.9618,0.2136,0.21940699,-0.864438,0.447574
0.8878,0.96559995,0.16319999,0.215662,-0.865916,0.446402
0.8781,0.88369995,0.0473,0.213645,-0.866756,0.445472
0.9296,0.7737,0.019199999,0.2112,-0.867685,0.44454598
1.0432,0.7321,0.1008,0.208215,-0.868786,0.443494
1.0692999,0.86439997,0.2595,0.205435,-0.869787,0.442439
1.0066,0.88839996,0.32029998,0.202494,-0.870819,0.441343
1.0435,0.6694,0.21229999,0.199736,-0.87174,0.440384
1.0561,0.48099998,0.095699996,0.196969,-0.872689,0.439399
0.9668,0.4118,0.1894,0.194144,-0.873766,0.437749
0.8459,0.5668,0.3001,0.191362,-0.874746,0.436679
0.85889995,0.5934,0.3412,0.188533,-0.875702,0.435604
1.0092,0.49199998,0.34379998,0.18543799,-0.876722,0.434454
1.0898,0.5351,0.3586,0.182335,-0.877802,0.433133
1.0012,0.722,0.3759,0.179621,-0.878865,0.431651
0.93509996,0.7816,0.43359998,0.176772,-0.879978,0.43011
0.94229996,0.72499996,0.443,0.173475,-0.881188,0.428532
0.9529,0.6213,0.3928,0.169895,-0.882419,0.426999
0.9284,0.5981,0.3718,0.166455,-0.883601,0.425547
1.105,0.5408,0.29389998,0.160506,-0.885565,0.423569
1.1336,0.5105,0.2674,0.160052,-0.885731,0.422741
1.1086,0.65749997,0.40969998,0.157227,-0.886663,0.421244
0.8734,0.7495,0.68799996,0.151655,-0.88830197,0.419258
0.8789,0.652,0.701,0.148248,-0.888969,0.418403
0.98249996,0.43339998,0.56949997,0.145047,-0.889381,0.418018
1.0256,0.31509998,0.43449998,0.14225,-0.889617,0.417863
1.0202,0.391,0.44889998,0.139705,-0.88987297,0.417588
1.0135,0.5628,0.573,0.13737799,-0.890138,0.417201
1.0012,0.68479997,0.695,0.135219,-0.890311,0.41685998
1.0073999,0.67109996,0.6379,0.133195,-0.890385,0.416668
1.0181999,0.61109996,0.5409,0.131059,-0.890452,0.41657
1.0129,0.5331,0.47329998,0.12893,-0.890511,0.416532
0.9248,0.525,0.5196,0.127253,-0.890393,0.416709
0.83949995,0.63589996,0.61899996,0.126016,-0.890047,0.417157
0.83489996,0.52599996,0.6063,0.124781,-0.889574,0.417913
0.7678,0.3827,0.5578,0.123741,-0.88832897,0.41964
0.76229995,0.2586,0.41579998,0.122587,-0.887793,0.420654
0.7608,0.1602,0.21169999,0.121501,-0.887431,0.421355
0.6975,0.1174,0.0154,0.120766,-0.887245,0.421761
0.58419997,0.3624,0.0712,0.120257996,-0.887227,0.421755
0.5227,0.52239996,0.120799996,0.11982,-0.887302,0.421394
0.56549996,0.40559998,0.1219,0.118928,-0.887454,0.42085
0.6181,0.3931,0.107499994,0.117697,-0.887767,0.41999
0.5559,0.4285,0.18429999,0.116117,-0.88821,0.418939
0.5112,0.3945,0.2999,0.114368,-0.888658,0.417839
0.54359996,0.35909998,0.33769998,0.112382,-0.889151,0.416615
0.6096,0.38,0.4987,0.109081,-0.889962,0.414902
0.60609996,0.39479998,0.4919,0.107538,-0.890233,0.413927
0.5509,0.43879998,0.50909996,0.105955,-0.890636,0.412814
0.48169997,0.4732,0.5001,0.104219,-0.891144,0.411601
0.4454,0.45139998,0.4802,0.102477,-0.891618,0.410529
0.46649998,0.4055,0.4298,0.100421,-0.892093,0.409659
0.4418,0.3428,0.4764,0.098156,-0.892556,0.408894
0.45409998,0.31059998,0.48099998,0.095831,-0.892939,0.408239
0.5701,0.32729998,0.4245,0.0936,-0.89324397,0.407638
0.69879997,0.343,0.42369998,0.091609,-0.893427,0.407113
0.70559996,0.4071,0.4996,0.089561,-0.893562,0.406577
0.7036,0.4604,0.5445,0.087153,-0.893402,0.405727
0.773,0.4533,0.47219998,0.085183,-0.893488,0.405095
0.7851,0.3969,0.44039997,0.083311,-0.893596,0.404435
0.6809,0.3701,0.468,0.081503,-0.893711,0.403776
0.56909996,0.3256,0.52419996,0.079772,-0.893792,0.403236
0.4908,0.34,0.5239,0.078,-0.89394,0.40263999
0.5115,0.3252,0.5143,0.0763,-0.894092,0.402051
0.5535,0.23369999,0.48409998,0.074595,-0.894214,0.401564
0.55329996,0.1911,0.43249997,0.073175,-0.894259,0.401161
0.5358,0.28419998,0.42339998,0.071704,-0.894398,0.400601
0.46769997,0.4376,0.5124,0.069249,-0.894892,0.39971
0.4093,0.3947,0.5302,0.068173,-0.894924,0.399339
0.4177,0.3049,0.4463,0.067249,-0.894839,0.39917699
0.3834,0.23519999,0.3168,0.066177,-0.894861,0.398942
0.3724,0.27269998,0.26909998,0.065204,-0.89497,0.398622
0.32889998,0.32819998,0.33879998,0.064201,-0.895072,0.398224
0.3227,0.36479998,0.4064,0.062968,-0.895128,0.397854
0.3365,0.2959,0.38329998,0.061600998,-0.895126,0.397615
0.40649998,0.21669999,0.3297,0.060514,-0.895069,0.39743
0.40019998,0.1909,0.2904,0.059377,-0.894866,0.397059
0.4125,0.2129,0.3154,0.058247,-0.895091,0.396832
0.32639998,0.2951,0.4123,0.056757,-0.894876,0.396405
0.29979998,0.313,0.4195,0.055448,-0.894882,0.396078
0.30969998,0.3148,0.42389998,0.054496,-0.895066,0.395881
0.3218,0.3371,0.4044,0.053384,-0.894857,0.395445
0.3644,0.2669,0.3626,0.05212,-0.894858,0.395131
