@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:33:15 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
0.0,0.0,0.0,0.0,0.0,0.0
-1.4533,-0.49269998,2.6684,0.36905,0.096715,-0.219645
-1.7817999,-0.69009995,2.4637,0.373139,0.096868,-0.219307
-0.84029996,-0.43199998,1.6056,0.378243,0.093801,-0.225788
0.3769,-1.533,1.9052999,0.380079,0.08767,-0.227577
1.252,-2.5477,2.1735,0.379337,0.080156,-0.228717
1.8885,-3.1262,1.9104999,0.377799,0.071953,-0.228808
0.2908,-1.7480999,0.28489998,0.385023,0.06547,-0.227047
-0.0243,-2.0571,-0.5287,0.386865,0.062252,-0.229529
-0.0493,-3.0045,-0.6734,0.394458,0.067581,-0.228156
0.87189996,-3.6276999,1.4376999,0.403313,0.064364,-0.227003
0.1748,-3.5667,2.0211,0.402737,0.053425,-0.230095
-1.4215,-2.0337,2.2438,0.405916,0.0462,-0.234706
-0.47129998,-2.1694999,2.1274,0.404524,0.042771,-0.237917
-1.7421,-2.3381,1.3725,0.40669,0.032939,-0.247679
-3.9836998,-1.9625,0.2979,0.406998,0.045221,-0.257518
-3.1441998,-1.4343,2.0154,0.40174899,0.069707,-0.251392
-0.95089996,-2.1824,2.87,0.387614,0.084188,-0.24245
-0.28419998,-3.8753998,0.6375,0.375869,0.098641,-0.232978
-0.055499997,-4.7732997,-1.0056,0.369276,0.119841,-0.22346699
0.61359996,-3.6462,1.6363,0.360533,0.139445,-0.212593
2.1144,-2.9614,2.5509999,0.342609,0.147262,-0.20437899
3.7099,-4.1888,0.1982,0.315905,0.135328,-0.20106299
3.7814,-5.1649,-1.7468,0.289243,0.123584,-0.19914299
2.642,-4.8712997,0.48349997,0.261333,0.129845,-0.197829
2.5893,-4.3494,2.5698,0.246147,0.130151,-0.202413
1.9103999,-4.1605997,5.8837,0.219769,0.133006,-0.214131
1.3296,-3.3516998,0.6591,0.203467,0.114929,-0.232386
2.2807999,-2.1627998,-1.1101999,0.194145,0.093268,-0.251246
1.604,-1.862,-1.3283,0.186357,0.08392,-0.260827
-0.17719999,-3.0103998,2.7953,0.165448,0.087459,-0.2749
1.2861999,-3.7224,3.4729,0.138421,0.094388,-0.280905
2.293,-2.9106998,3.7679,0.107923,0.094674,-0.284138
4.1926,-2.5047998,2.9017,0.081383,0.085593,-0.287784
4.8707,-3.1576998,1.0766,0.058274,0.067062,-0.290933
3.6023,-3.1028,-2.0481,0.034766,0.048634,-0.296789
2.7342,0.36429998,-6.1665998,0.008056,0.031994,-0.30463699
7.2890997,4.2585,-4.0299997,-0.062739,-0.024211999,-0.318119
4.4986,4.1305,-0.71279997,-0.106414,-0.057716,-0.329794
1.1611,3.6322,-1.5995,-0.137051,-0.084627,-0.347484
-0.97099996,4.1425,-5.4112997,-0.153898,-0.117962,-0.364274
-1.9403,3.0544,-6.7249,-0.160976,-0.12732,-0.370063
-1.6748999,1.8366,-8.919499,-0.193057,-0.168697,-0.389224
3.843,4.6198,-11.9964,-0.205186,-0.203102,-0.39392
5.7081,0.6759,-12.0257,-0.212848,-0.23463699,-0.405187
6.5038,-2.4642,-10.6721,-0.21335,-0.264297,-0.424532
7.1361,-1.6841999,-7.6983,-0.205225,-0.291333,-0.444591
8.9338,-2.2127,-6.8599997,-0.19815099,-0.318547,-0.459429
12.2083,-1.736,-4.3447,-0.189887,-0.361139,-0.46452498
10.1789,-4.685,-2.6489,-0.19659,-0.397858,-0.468799
5.1791,-3.5519998,0.071899995,-0.206306,-0.424387,-0.4862
9.0699,0.6443,-0.2622,-0.215122,-0.441986,-0.515989
9.4794,0.67359996,3.4529998,-0.226,-0.458238,-0.552203
6.9038,-1.6595,6.3743,-0.229353,-0.459778,-0.570144
3.8379,-4.9756,11.3462,-0.223606,-0.466366,-0.60412997
1.8728,-6.9438,7.6744,-0.217754,-0.481529,-0.595561
2.4287,-9.0467,3.1617,-0.216513,-0.503313,-0.565645
4.3831,-8.179999,7.2644997,-0.240545,-0.500526,-0.52849
-1.2759,-2.9262998,1.8785,-0.274345,-0.48375,-0.53413
-1.2466999,1.7846999,9.3855,-0.295799,-0.466403,-0.548335
4.8219,4.9602,5.173,-0.310347,-0.456,-0.555356
7.4519997,4.3006997,2.2786999,-0.311521,-0.45292,-0.550663
