@ HyperIMU - ianovir
@ Date:Thu Jun 11 21:28:41 GMT+02:00 2020, Sampling Rate:20ms

linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
0.0,0.0,0.0,0.0,0.0,0.0
-0.39429998,0.1855,0.25419998,0.520713,0.260424,-0.432195
7.0178,3.9787998,3.8716,0.520974,0.260737,-0.432672
13.2442,-3.0198998,8.2792,0.502919,0.234938,-0.432024
7.1949997,-5.0497,2.8278,0.480054,0.216162,-0.43534198
12.3512,-2.3418,12.528999,0.44442,0.193116,-0.443595
12.4662,-3.0767,10.244599,0.42543,0.178437,-0.444453
8.651,-5.6492,3.3644998,0.404696,0.1696,-0.448548
7.5477996,-2.3904998,3.9931,0.406268,0.151794,-0.45633098
9.2345,-5.7527,7.5197997,0.398048,0.132143,-0.462525
6.7193,-3.0737,7.4241996,0.388533,0.116514,-0.468873
4.3536997,-3.4582,3.8653,0.376952,0.111731,-0.471655
3.2229998,-5.4388,-3.349,0.378261,0.098311,-0.483309
7.0464997,-7.6296997,-3.2735999,0.364251,0.094407,-0.495109
5.6618,-6.4045997,-5.8329,0.333586,0.091231,-0.508881
4.5367,-9.2877,-3.5279,0.324401,0.08298,-0.512283
1.9447,-12.7655,-5.1372,0.319098,0.061244,-0.517649
-0.5255,-14.5624,-8.9255,0.308795,0.008435,-0.529616
-2.0686,-16.8048,-13.8679,0.287292,-0.066305,-0.535973
0.1862,-17.1014,-13.9642,0.243526,-0.149045,-0.531278
5.7648,-17.372099,-9.3427,0.170978,-0.227855,-0.512112
8.3258,-15.4572,2.3590999,0.092824,-0.267702,-0.484841
11.9183,-12.1811,19.159399,0.025174,-0.264059,-0.459058
18.3011,-5.4449997,33.2341,-0.031945,-0.261626,-0.432545
38.070297,4.6605997,5.7197,-0.069221,-0.32068,-0.343876
28.111898,7.2904997,0.7283,-0.054911,-0.341493,-0.289315
22.0469,5.5288,0.047199998,-0.042997,-0.345051,-0.270139
14.9381,4.8085,-32.875797,-0.004531,-0.346813,-0.236274
-4.3048997,-0.7384,-42.0683,0.010157,-0.409889,-0.21628
-1.4605,-1.1092,-9.4299,-0.002138,-0.438977,-0.204853
0.5739,0.3965,12.490299,-0.024931,-0.408908,-0.202866
5.4163,3.5870998,-11.7238,-0.023129,-0.426278,-0.188981
5.2991,2.4521,-5.2465,-0.013491,-0.476778,-0.177417
1.6657,-2.9693,4.1129,-0.018461,-0.48152,-0.182171
-2.4387,-7.0906,-6.2591996,-0.026029,-0.479781,-0.182071
1.2784,-11.0288,-5.48,-0.033526,-0.507906,-0.161754
3.2581,-9.840899,-1.5991,-0.060805,-0.535973,-0.126626
5.8705,-7.7412996,-4.975,-0.06167,-0.544554,-0.119826
2.6007,-8.5722,-6.1639,-0.082819,-0.564241,-0.079361
0.44779998,-8.5996,-2.4524,-0.103028,-0.56289,-0.061668
-10.6282,-4.9600997,-11.5351,-0.117533,-0.55817,-0.048843
-9.9805,-3.2849,7.9456997,-0.134207,-0.514402,-0.057149
-10.5729,-3.9143,8.218699,-0.153164,-0.463768,-0.069658
-1.6429,1.803,-9.113,-0.143234,-0.48973998,-0.051119
0.55439997,1.8730999,-10.1117,-0.13093,-0.533201,-0.02509
-0.16749999,-0.709,-3.9606998,-0.129242,-0.563783,-0.009004
13.6846,-4.928,9.7674,-0.133879,-0.575394,-0.003964
14.6728,2.1285,26.2661,-0.126312,-0.582019,-0.011055
-9.9761,-9.0011,-1.7435,-0.088207,-0.560646,-0.018793
-1.8007,-4.4958997,-4.5439,-0.124703,-0.560155,-0.013105
-7.8076997,-6.2264,-3.9225998,-0.154898,-0.574025,-0.003493
-7.5106997,-1.3675,-5.6327,-0.182571,-0.590317,0.003775
-0.8165,0.6444,1.2397,-0.199949,-0.601441,0.005326
-4.611,8.1723995,-9.1958,-0.209504,-0.601871,-0.003768
-5.4902997,3.4805,-4.7256,-0.207262,-0.618949,-9.8E-5
-10.5139,2.8356,-3.8095,-0.215438,-0.607745,-1.55E-4
-11.193,3.596,-6.3757997,-0.232726,-0.612585,0.014831
0.373,-12.4618,5.2763,-0.263086,-0.593131,0.014285
3.9287999,-10.1592,4.6918,-0.268155,-0.590177,0.009923
6.3304,-14.9438,-6.2688,-0.276968,-0.603047,0.027395999
-2.7431,-18.414299,-3.7796998,-0.293515,-0.608388,0.030217
-4.9153,-15.3685,2.6362,-0.316974,-0.607404,0.022458
3.0577998,-20.600399,-7.0702,-0.351151,-0.618634,0.033369
5.9686,-15.787299,-7.2570996,-0.372495,-0.631059,0.066252
1.7219,-6.0256996,1.9879999,-0.373696,-0.633414,0.073491
-2.7091,0.1426,0.2358,-0.380141,-0.63128,0.100861
-1.2372999,0.4055,-0.33069998,-0.379388,-0.640859,0.129168
-1.434,3.3055,5.4301,-0.369511,-0.639389,0.148593
-10.843599,8.6658,2.8399,-0.350335,-0.64425397,0.171265
-4.2746,12.918799,2.3869998,-0.305597,-0.678467,0.161511
-7.8304,11.725599,-5.6587,-0.264858,-0.718215,0.152115
-10.6367,7.7142997,-1.2297,-0.255633,-0.723498,0.156692
-7.5706997,-14.680599,3.2358,-0.252435,-0.734,0.16166
0.9483,-22.2141,3.763,-0.251695,-0.736214,0.166276
7.6527,-9.5934,-4.5896,-0.248595,-0.729858,0.17946
2.8335,-8.9215,-0.5933,-0.24596299,-0.726807,0.184449
-6.305,-2.9972,2.0392,-0.246977,-0.721438,0.18517
-4.6516,-2.3365998,2.5022,-0.254427,-0.713334,0.191378
-0.0557,-3.6420999,1.6613,-0.260225,-0.701061,0.202985
0.5409,4.5483,2.6076,-0.261344,-0.709332,0.205008
-6.7668,10.8831,3.2345998,-0.253692,-0.714535,0.189842
-5.627,7.6693997,5.3619,-0.236738,-0.722383,0.174227
-9.1657,8.2773,5.1256,-0.225172,-0.727072,0.163983
-11.6025,13.8841,0.3033,-0.214808,-0.744194,0.167106
-11.1319,8.7624,4.9504,-0.211449,-0.759073,0.18739
-14.1721,-12.033,5.3342,-0.229512,-0.749861,0.219022
-14.852099,-10.144199,-2.7098,-0.256313,-0.726731,0.252994
-6.0167,-23.8568,9.1968,-0.312579,-0.658561,0.268481
7.1442,-23.396,-14.6545,-0.359701,-0.636741,0.309385
11.4484,-14.3907995,11.958099,-0.412384,-0.620995,0.352695
-2.1522,-11.689,19.609499,-0.468125,-0.575904,0.367516
-8.576799,-12.137199,10.3021,-0.480594,-0.547531,0.397069
-2.7384999,-10.047,-11.8831,-0.474515,-0.5215,0.426434
-5.4764,-2.4617999,-8.9552,-0.474568,-0.484451,0.443737
-4.187,0.66789997,-5.468,-0.478613,-0.475013,0.455611
-1.0073999,2.1406,-4.8543,-0.490553,-0.494826,0.454798
-1.7462,3.3936,-2.5304,-0.508286,-0.512961,0.440136
-1.5847,4.8508,2.8409998,-0.527562,-0.518681,0.41224
-1.8181,11.7246,6.2005997,-0.53737,-0.509784,0.375519
-1.1862,15.4592,2.9341998,-0.537507,-0.48906898,0.327264
-4.367,1.5105,-2.9064,-0.536273,-0.489102,0.315021
0.6498,-15.366099,-2.5383,-0.535212,-0.481275,0.30956098
1.1694,-14.6889,-7.7054,-0.526922,-0.493443,0.312658
-0.6613,-10.576799,-8.2951,-0.516227,-0.512419,0.30932
-2.9659,-9.2232,-11.3643,-0.510045,-0.538455,0.306132
-11.6714,-5.5889997,0.91609997,-0.510341,-0.567683,0.302577
-14.470699,1.1822,10.885699,-0.513737,-0.584032,0.299529
-11.7596,8.1837,9.0741,-0.519798,-0.581773,0.313402
-8.4875,12.5427,6.1589,-0.521131,-0.57701,0.322741
-2.7468,14.6154995,3.6095998,-0.513418,-0.579606,0.32883
3.3153,8.738999,-3.1187,-0.503271,-0.59136,0.331005
0.87649995,3.0823998,-8.2458,-0.502028,-0.601285,0.32918
4.7296,4.4323,-1.8693,-0.50448,-0.613751,0.310881
3.8583999,6.9821,1.6294,-0.500293,-0.634261,0.282503
0.1718,6.9089,1.9605999,-0.487498,-0.657883,0.247329
-7.6534996,-1.7032,-4.8659997,-0.47546,-0.678115,0.226128
-31.102999,-14.681999,6.565,-0.463237,-0.690023,0.216979
-10.0083,-14.5829,2.5579998,-0.462231,-0.699832,0.238003
-10.524,-16.3888,-6.8208,-0.478096,-0.690401,0.244141
-5.3187,-14.554999,1.3518,-0.484351,-0.677736,0.25447
-3.3451998,-10.253699,-3.129,-0.483857,-0.669957,0.26447
-3.7975998,-6.5629,-4.5706997,-0.482711,-0.668912,0.281381
-8.9018,-2.9838,-0.98179996,-0.482898,-0.671004,0.308911
-12.1179,-0.0752,0.9853,-0.484346,-0.671301,0.342567
-9.7792,3.0835,2.5024998,-0.488938,-0.666734,0.373687
-5.3478,4.7615,1.9782,-0.494329,-0.659167,0.401043
1.6406,5.6029,3.7673,-0.497007,-0.652352,0.416169
6.5306997,8.972799,9.7513,-0.4821,-0.637383,0.432976
7.2535,12.4944,6.9558,-0.467087,-0.634017,0.439938
7.9062996,9.5734,-0.212,-0.446364,-0.64066,0.441253
