@ HyperIMU - ianovir
@ Date:Thu Jun 11 22:14:42 GMT+02:00 2020, Sampling Rate:20ms

timestamp,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1591906482477,0.0,0.0,0.0,0.0,0.0,0.0
1591906482497,0.97129995,0.2598,-2.1599998,0.247137,-0.254029,-0.863697
1591906482518,0.5542,-0.030199999,0.278,0.241753,-0.255404,-0.866224
1591906482538,0.4806,-0.24049999,0.070999995,0.230748,-0.257643,-0.871479
1591906482558,-0.0028,-0.3985,0.24229999,0.219096,-0.257587,-0.876584
1591906482579,0.1226,-0.19649999,0.95809996,0.202663,-0.255494,-0.884772
1591906482599,0.5063,-0.079799995,0.92149997,0.192119,-0.254119,-0.889122
1591906482620,0.5614,-0.27429998,-0.14,0.179457,-0.254274,-0.894734
1591906482640,-0.0609,-0.019,-0.9475,0.156723,-0.257151,-0.904271
1591906482660,-0.2914,0.183,-0.96239996,0.151802,-0.257656,-0.904693
1591906482681,-0.3177,0.13759999,-0.3231,0.147566,-0.257386,-0.904695
1591906482699,-0.1337,0.103599995,0.2959,0.143065,-0.257136,-0.904673
1591906482719,-0.2536,0.0845,0.067099996,0.138939,-0.25714,-0.904789
1591906482740,-0.4895,0.133,-0.1304,0.134844,-0.257229,-0.904957
1591906482760,-0.7564,0.5484,-0.67179996,0.128176,-0.258486,-0.904701
1591906482780,-1.1154,-0.0681,0.42459998,0.115619,-0.26130798,-0.904242
1591906482801,0.7578,-0.9831,0.33499998,0.090106,-0.267322,-0.905837
1591906482821,2.777,-0.61,-0.0233,0.051008,-0.279653,-0.907824
1591906482841,1.7907,0.3575,-1.5437,0.013281,-0.292596,-0.908443
1591906482862,0.68399996,-0.7951,-0.89769995,-0.0106,-0.300189,-0.908194
1591906482882,-0.5539,-1.3514,-1.0733,-0.023587,-0.302848,-0.9086
1591906482902,-1.0694,0.0716,0.86439997,-0.032835,-0.304135,-0.909443
1591906482923,1.2682999,0.8587,0.5161,-0.041836,-0.306702,-0.910346
1591906482944,0.12979999,-0.7782,0.4892,-0.046374,-0.304625,-0.912907
1591906482964,-1.5260999,-0.84349996,0.20629999,-0.043794,-0.29934,-0.915674
1591906482985,-1.4025999,0.1314,-0.5977,-0.040546,-0.295601,-0.916919
1591906483005,-1.958,1.1974,-1.1603999,-0.038134,-0.294753,-0.916541
1591906483026,-1.1704,2.231,-1.2746999,-0.039845,-0.295664,-0.91509
1591906483046,1.2200999,1.7069999,-0.0639,-0.044423,-0.294558,-0.913939
1591906483066,1.8348,0.0376,5.1453,-0.053569,-0.289772,-0.914356
1591906483087,1.2373999,-0.5827,5.9476,-0.061089,-0.279889,-0.916347
1591906483105,-1.005,-1.3158,2.2075999,-0.059761,-0.277464,-0.916793
1591906483126,-1.3018,-0.4244,-1.2937,-0.055212,-0.274754,-0.916692
1591906483146,-1.0591,0.16669999,-2.8337,-0.051518,-0.27453,-0.915688
1591906483166,-0.88949996,0.52959996,-3.9947999,-0.049883,-0.276282,-0.91419697
1591906483187,-1.5897,0.9187,-3.2431,-0.052693,-0.279465,-0.912487
1591906483207,-1.2580999,0.63089997,-1.8700999,-0.05554,-0.281465,-0.911305
1591906483227,-0.5128,0.2792,-1.3298,-0.055885,-0.282164,-0.910227
1591906483252,1.3676,-0.68399996,-0.0232,-0.055964,-0.28050599,-0.90981
1591906483272,1.5128,-1.7224,2.4724,-0.056902,-0.276263,-0.91047
1591906483293,0.78349996,-2.3978,2.3409998,-0.055465,-0.271628,-0.911542
1591906483312,-0.6196,-2.1728,0.55649996,-0.051369,-0.269703,-0.911932
1591906483333,-1.249,-1.5947,-1.6419,-0.046402,-0.272264,-0.910963
1591906483354,-2.3799,-0.0933,-1.482,-0.042616,-0.277706,-0.908858
1591906483376,-1.4501,1.1356,-3.4008,-0.039342,-0.282941,-0.906106
1591906483397,1.8932999,1.0488,-1.2224,-0.042769,-0.286079,-0.903691
1591906483418,3.3161,1.2028999,4.5896,-0.062081,-0.285048,-0.902829
1591906483439,1.7816,-0.7802,3.3867998,-0.070289,-0.279715,-0.904216
1591906483460,0.6022,-0.5977,2.5054998,-0.073663,-0.267992,-0.907448
1591906483481,-0.219,-0.0665,2.4585,-0.073622,-0.251853,-0.911814
1591906483502,-0.7726,0.7831,1.6123999,-0.071786,-0.237819,-0.915643
1591906483521,-1.1851,1.3379999,0.1973,-0.069872,-0.229523,-0.918324
1591906483543,-0.69119996,1.7660999,-0.5773,-0.069502,-0.226344,-0.919809
1591906483564,-0.3037,1.7004,-0.5937,-0.070764996,-0.226316,-0.920396
1591906483584,0.0738,1.6394,-0.2034,-0.073586,-0.229587,-0.919842
1591906483606,0.0446,1.4633,-0.2888,-0.077332,-0.237259,-0.917834
1591906483627,0.4215,1.2663,-1.2983999,-0.081822,-0.254671,-0.91280997
1591906483648,-0.1384,0.4087,-2.5679998,-0.083181,-0.265795,-0.909674
1591906483669,0.0325,-0.2589,-1.4204999,-0.086021,-0.275089,-0.907202
1591906483691,0.5254,-0.72349995,0.6175,-0.090796,-0.2815,-0.905712
1591906483710,0.0708,-1.5295999,0.4355,-0.096079,-0.288925,-0.904236
1591906483733,0.0056999996,-2.0344,-0.94759995,-0.098823,-0.295665,-0.902931
1591906483752,-0.23709999,-2.6382,-1.939,-0.09919,-0.300497,-0.902161
1591906483774,-1.2947999,-3.7407,-3.1534,-0.099181,-0.305584,-0.901501
1591906483795,-2.3753998,-4.6001,-4.3898997,-0.100721,-0.313098,-0.900107
1591906483818,-3.7663,-3.4647,-6.5404997,-0.107044,-0.328619,-0.895735
1591906483837,-4.712,-1.8901,-10.0273,-0.109027,-0.332958,-0.894233
1591906483858,-1.8439,0.2269,-11.755199,-0.116899,-0.326179,-0.895254
1591906483880,3.6172,-1.8535999,-0.1716,-0.134898,-0.296734,-0.902749
1591906483899,13.5777,-2.9415998,18.876799,-0.167543,-0.252744,-0.911079
1591906483920,14.8546,0.9553,25.3904,-0.199128,-0.216559,-0.915702
1591906483939,10.165299,0.5552,21.744999,-0.210532,-0.20452599,-0.9182
1591906483960,-0.47349998,1.4265,3.7278998,-0.210589,-0.206697,-0.918866
1591906483981,-1.1477,2.1392,-1.4388,-0.210252,-0.214314,-0.917125
1591906484003,-1.5144,2.2421,-3.1578,-0.213656,-0.226589,-0.913108
1591906484024,-2.1013,1.8076999,-4.178,-0.220992,-0.244211,-0.906827
1591906484045,-2.0684,1.3844,-4.6819997,-0.230257,-0.265072,-0.898888
1591906484067,-2.7728,0.7504,-5.1162,-0.238508,-0.285056,-0.890942
1591906484087,-3.0495,0.3035,-6.7763996,-0.244652,-0.305429,-0.882717
1591906484108,-3.3467999,-0.2712,-7.692,-0.247038,-0.308651,-0.881317
1591906484129,-2.2284,-1.7207999,-4.3957,-0.251922,-0.303998,-0.882365
1591906484158,-1.6028999,-2.5941,0.3023,-0.2589,-0.293918,-0.884843
1591906484170,-2.2336,-2.9134,1.8203,-0.26196,-0.288428,-0.886286
1591906484191,-4.3673,-3.5741,0.3006,-0.267851,-0.279435,-0.888068
1591906484212,-6.2311997,-4.3883,-1.9208,-0.273194,-0.284477,-0.884262
1591906484233,-8.248199,-5.7023997,-4.2464,-0.284018,-0.298037,-0.874846
1591906484255,-7.1085997,-7.4309998,-8.2094,-0.29968,-0.315633,-0.859816
1591906484273,-2.9392998,-7.2068,-10.5784,-0.319233,-0.32824,-0.84211
1591906484294,1.0371,-6.2615,-11.9347,-0.341383,-0.327802,-0.826401
1591906484316,9.1648,-3.8298998,-9.4817,-0.367666,-0.309656,-0.815305
1591906484337,20.1068,-1.1692,1.9185,-0.400525,-0.27276,-0.80877
1591906484356,25.833199,1.6729,15.210199,-0.43539,-0.22348,-0.80564
1591906484377,28.561298,5.1268,28.6633,-0.464455,-0.175228,-0.803818
1591906484398,23.2122,8.2224,20.804499,-0.486491,-0.153501,-0.798279
1591906484419,13.9613,6.6721,7.8522997,-0.486258,-0.170033,-0.797093
1591906484442,9.0633,6.0559998,2.2738,-0.482552,-0.192558,-0.797263
