@ HyperIMU - ianovir
@ Date:Thu Jun 11 22:15:25 GMT+02:00 2020, Sampling Rate:20ms

timestamp,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1591906525796,0.0,0.0,0.0,0.0,0.0,0.0
1591906525817,-0.3123,0.7355,0.7176,0.14556,0.316862,0.716644
1591906525839,-0.32479998,0.73179996,0.71779996,0.146494,0.316446,0.716091
1591906525858,-0.32479998,0.73179996,0.71779996,0.146494,0.316446,0.716091
1591906525879,-1.258,-0.34829998,-0.7758,0.13633,0.323816,0.71091497
1591906525900,-0.8897,-0.3209,-0.46409997,0.136883,0.323416,0.711133
1591906525921,-0.22219999,-0.0058,0.2649,0.136325,0.323145,0.710719
1591906525942,-0.5603,-0.1083,0.1988,0.135868,0.318872,0.712108
1591906525963,-0.82729995,-0.2674,-0.0308,0.134546,0.316743,0.71051097
1591906525985,-0.9808,-0.221,-0.0718,0.132883,0.314929,0.709102
1591906526006,-1.0969,0.070199996,0.0015,0.131535,0.31508,0.708162
1591906526025,0.0022,0.4337,0.41869998,0.131869,0.312189,0.705847
1591906526046,-0.012,0.5537,0.0081,0.133568,0.309961,0.704557
1591906526068,-0.5464,0.28079998,-0.3008,0.135005,0.308921,0.702788
1591906526089,-1.3202,0.1409,-0.4188,0.133926,0.309365,0.699651
1591906526110,-0.9856,0.0072999997,-0.6145,0.131919,0.310264,0.696284
1591906526131,-0.5505,0.18259999,-0.3509,0.131781,0.308611,0.694421
1591906526152,0.4703,0.49269998,-1.0084,0.134989,0.305549,0.692309
1591906526172,0.14559999,0.33679998,-0.82159996,0.136323,0.30087098,0.689534
1591906526193,-0.55689996,-0.5703,-0.4676,0.133237,0.293094,0.686536
1591906526214,-1.1098,-1.0181,-0.9762,0.128196,0.284239,0.683644
1591906526233,-1.6968,0.1899,-1.2274,0.12606099,0.273905,0.682115
1591906526255,-0.116399996,-0.1017,-0.9156,0.124694,0.25839,0.686432
1591906526276,1.0784,-0.0042,-0.8829,0.124071,0.239979,0.692824
1591906526296,1.3103,-0.14479999,-0.5003,0.121214,0.21862599,0.697405
1591906526318,0.3446,-0.3139,0.79719996,0.107847996,0.18444,0.698716
1591906526339,-0.6659,-0.17809999,1.0440999,0.096529,0.162539,0.69739
1591906526360,-1.7076,0.68659997,1.3418,0.0888,0.145024,0.69785297
1591906526380,-0.8401,-0.8807,0.56009996,0.086939,0.130385,0.70148
1591906526401,0.67109996,-0.7475,-0.1148,0.090167,0.116251,0.709152
1591906526422,1.4272,-1.9461,-3.7724,0.100291,0.102954,0.71721697
1591906526441,1.2175,-2.7621999,-5.8089,0.110121,0.090544,0.725461
1591906526462,0.7558,-3.1604,-7.2018,0.110277,0.081513,0.735183
1591906526483,-0.57769996,-4.1166997,-7.0576997,0.097231,0.075506,0.747839
1591906526504,0.92499995,-4.013,-6.6187997,0.066504,0.074881,0.762426
1591906526525,0.657,-3.149,-4.7848,0.026405,0.082713,0.773537
1591906526547,1.0570999,-2.0964,-5.0383997,-0.012227,0.089211,0.778843
1591906526569,1.2246,-1.7931999,-3.8478,-0.042141,0.080847,0.779701
1591906526588,1.3435999,-1.7020999,-0.33969998,-0.077969,0.045801,0.771885
1591906526610,0.45319998,-1.4602,1.7527,-0.095485,0.015792,0.758583
1591906526631,-0.0484,-2.5175998,4.3303,-0.111775,-0.017089,0.741127
1591906526649,-0.89699996,-2.0081,5.9066,-0.127404,-0.049217,0.720106
1591906526670,-1.9526,-0.76229995,7.5358,-0.141623,-0.078503,0.697307
1591906526692,-2.5491998,0.25329998,8.252,-0.153375,-0.103493,0.674663
1591906526713,-2.9336,1.221,8.1663,-0.161478,-0.121619,0.653916
1591906526734,-2.8608,1.9947,6.8504,-0.165016,-0.132458,0.635952
1591906526755,-2.4376,2.3950999,5.4048,-0.163413,-0.13917,0.62154
1591906526776,-2.4716,2.5994,4.1492,-0.157441,-0.144093,0.609641
1591906526797,-3.1123998,2.7574,3.6425,-0.146627,-0.152884,0.592332
1591906526818,-4.2199,2.3425999,2.9559999,-0.140408,-0.153305,0.578647
1591906526839,-4.7135,2.1241999,2.8156998,-0.134832,-0.151272,0.564945
1591906526858,-5.0243998,1.7940999,2.6732,-0.128271,-0.149473,0.55256
1591906526880,-5.1605,1.4928,2.4294999,-0.120122,-0.148138,0.542101
1591906526900,-5.2974,1.3069999,2.083,-0.110951,-0.146278,0.533425
1591906526921,-5.164,1.0587,1.5913,-0.101332,-0.142711,0.526957
1591906526942,-4.9804997,0.90929997,1.1242,-0.092306,-0.137113,0.52263
1591906526964,-4.7745,0.9619,0.6847,-0.083935,-0.129865,0.520084
1591906526985,-4.4603,0.86899996,0.3548,-0.076114,-0.12164,0.519533
1591906527008,-3.4993,0.56979996,0.3254,-0.06608,-0.10595,0.521889
1591906527027,-3.2013,0.4429,0.34019998,-0.061762,-0.105043,0.523677
1591906527048,-2.2298,0.0156,0.1707,-0.052172,-0.092112,0.531417
1591906527068,-2.0194,-0.2341,0.2554,-0.04735,-0.085338,0.53812
1591906527089,-2.0609999,-0.3439,0.4421,-0.045044,-0.083747,0.541292
1591906527109,-2.3989,-1.069,2.4048998,-0.045712,-0.074344,0.553119
1591906527130,-1.5245,-2.2026,3.3341,-0.048414,-0.071764,0.562941
1591906527152,-0.32569999,-2.7182,4.7785,-0.051274,-0.070784,0.574918
1591906527173,0.472,-2.1903,5.7039,-0.053292,-0.07056,0.587627
1591906527194,0.9052,-1.8901,5.4811997,-0.054105,-0.070971,0.601074
1591906527215,0.4827,-1.5763999,3.5489,-0.053714998,-0.067517,0.61498797
1591906527236,-0.16149999,-1.1872,0.9126,-0.051728,-0.057945,0.62947
1591906527257,-0.4676,-1.0583999,-1.3679,-0.04786,-0.044329,0.645445
1591906527276,-0.3588,-1.2973,-2.8906,-0.041501,-0.029959999,0.663919
1591906527298,0.4818,-1.7979,-4.1458,-0.022747,-0.010035,0.693982
1591906527319,0.861,-1.6162,-5.118,-0.007047,-0.001634,0.715329
1591906527340,0.81229997,-1.4657999,-5.2834997,0.009602,0.004391,0.735029
1591906527361,0.86329997,-1.5742999,-4.1164,0.023347,0.008525,0.753194
1591906527382,1.2195,-1.7018,-1.1143,0.032860998,0.010173,0.769954
1591906527403,1.4928,-1.5139999,2.0730999,0.040463,0.007845,0.784411
1591906527424,1.3431,-1.2157999,4.0984,0.049494,0.003893,0.795481
1591906527445,0.8174,-1.6499,4.4405,0.058314,0.002557,0.803223
1591906527466,-0.35959998,-1.8743,3.8388999,0.064879,0.004485,0.808582
1591906527485,-1.3255,-1.6629,2.8755999,0.067267,0.009733,0.813294
1591906527507,-1.4067,-1.3335999,1.5342,0.066569,0.017171,0.818872
1591906527529,-0.8858,-0.941,-0.9249,0.061532,0.032486,0.830638
1591906527548,-0.6908,-0.6505,-2.2087998,0.058541,0.044198,0.83850497
1591906527569,-0.3856,-0.2782,-3.2603,0.056589,0.055368,0.84586
1591906527590,0.0223,-0.2031,-3.359,0.056452,0.063636,0.852841
1591906527611,0.53819996,-0.19309999,-3.3019,0.059183,0.068141,0.859328
1591906527632,0.8448,-0.2302,-2.9940999,0.063617,0.069236,0.865117
1591906527653,0.908,-0.3542,-2.4318,0.06655,0.067671,0.87024
1591906527674,0.97209996,-0.4885,-1.7242999,0.066795,0.064188,0.874944
1591906527695,1.2176,-0.292,-1.2154,0.066528,0.060009,0.879237
1591906527714,1.6087999,-0.0143,-0.8012,0.067508,0.05561,0.883021
1591906527735,1.8464999,0.17019999,-0.6938,0.070369,0.05169,0.88627
1591906527756,1.9158,0.3396,-0.57949996,0.074942,0.048332,0.888428
1591906527779,1.5514,0.3566,-0.1734,0.079453,0.042949,0.889282
1591906527798,1.7091999,0.4122,0.6236,0.082416,0.0388,0.888963
1591906527819,2.1584,0.38819999,0.4748,0.086669,0.034624,0.888496
1591906527840,2.6202,0.6026,0.0784,0.092082,0.031986,0.888066
1591906527861,2.8079998,1.1083,-0.2039,0.098489,0.030033,0.886913
1591906527882,2.8502,1.3133,-0.1955,0.103932,0.026938,0.884368
1591906527902,2.7907,1.1636,0.2316,0.106625,0.020993,0.880587
1591906527925,2.6499,1.0311999,0.9249,0.107335,0.011803,0.875335
1591906527944,2.3321,0.6448,1.8153,0.107509,-5.23E-4,0.868224
1591906527965,1.3864,0.47739998,2.3557,0.106651,-0.015342,0.859226
1591906527986,-0.0497,0.3709,2.6222,0.10163,-0.029446,0.849141
1591906528007,-1.4426,0.34379998,2.2529,0.091321,-0.039115,0.839382
1591906528028,-2.2540998,0.39929998,1.2038,0.078772,-0.040893,0.831859
1591906528050,-1.675,0.34669998,-0.9241,0.068226,-0.035043,0.824789
1591906528068,-0.71029997,-0.108399995,-1.5274,0.071391,-0.031989,0.82162
1591906528089,-0.1095,-0.4066,-1.7146,0.078989,-0.028918,0.818426
1591906528108,0.2481,-0.6602,-1.4036,0.087892,-0.026655,0.814328
1591906528129,0.47,-1.1434,-0.7321,0.094666,-0.026673,0.808882
1591906528150,0.3636,-1.706,0.4271,0.097165,-0.028931,0.802053
1591906528172,-0.1392,-1.8805,1.7304,0.095665,-0.03281,0.793465
1591906528193,-0.6437,-1.8878,2.6708999,0.090898,-0.037641,0.783656
1591906528214,-1.1848999,-1.7703999,2.5983,0.082611,-0.040655,0.774104
1591906528235,-1.655,-1.4151,1.4057,0.07163,-0.039243,0.765678
1591906528256,-1.6004,-0.8788,-0.016099999,0.060485,-0.031907,0.760311
1591906528278,-1.2006,-0.0209,-1.6024,0.050431,-0.019189,0.754436
1591906528298,-0.77419996,0.4886,-2.0772998,0.048901,-0.013974,0.752629
1591906528319,-0.3628,0.74039996,-2.1994998,0.048315,-0.00429,0.74842
1591906528340,-0.24939999,0.8864,-2.1959999,0.050339,4.26E-4,0.744966
1591906528361,-0.3647,1.1431999,-2.0246,0.052475,0.00415,0.740867
1591906528383,-0.4895,1.3622999,-1.336,0.05321,0.006989,0.73623997
1591906528402,-0.5872,1.2887,-0.691,0.051947,0.008162,0.731385
1591906528423,-0.84639996,1.2917,-0.2956,0.048469,0.008831,0.726468
1591906528444,-1.0877,1.467,0.24509999,0.043418,0.010689,0.72186
1591906528465,-0.8341,1.5992,0.728,0.037988,0.013328,0.718309
1591906528486,-0.4781,1.7419,1.0388,0.034127,0.017317,0.71626997
1591906528507,-0.1942,1.8528999,1.2946,0.032262,0.021673,0.714331
1591906528526,-0.0319,1.6304,1.2607,0.033029,0.026295999,0.712745
1591906528548,-0.014699999,1.2196,1.2188,0.037336,0.035347,0.710937
1591906528569,-0.027999999,1.1323999,1.115,0.03917,0.042632,0.71050197
1591906528591,0.094,1.0983,0.9557,0.040186,0.05115,0.710429
1591906528610,0.40809998,0.9403,0.95589995,0.040827,0.059779,0.710733
1591906528630,0.6268,0.6364,0.55649996,0.041669,0.068125,0.711069
1591906528654,0.73759997,0.44009998,0.1002,0.043282,0.075758,0.710814
1591906528673,1.0720999,0.0698,0.4876,0.045019,0.079599,0.709615
1591906528694,1.1428,-0.4224,1.6978999,0.04494,0.077798,0.707249
1591906528715,0.398,-0.71379995,2.7937,0.039249,0.073493,0.70318
1591906528736,-0.987,-0.95,2.3968,0.0271,0.07396,0.698509
1591906528755,-0.95549995,-0.8484,1.0026,0.014894,0.080003,0.695243
1591906528776,-0.17799999,-0.84059995,-0.3565,0.007218,0.088137,0.69447
1591906528797,0.74689996,-0.9952,-1.384,0.00649,0.094278,0.696052
1591906528818,1.3029,-1.2412,-2.3597,0.011303,0.097776,0.698265
1591906528839,1.3048999,-1.6001999,-3.5167,0.022233,0.103446,0.699713
1591906528860,0.9188,-1.6572,-3.2136998,0.027604,0.104323,0.699804
1591906528881,0.6971,-1.9135,-1.8206999,0.029054,0.101595,0.699015
1591906528902,0.779,-2.4668999,-0.03,0.026705,0.093576,0.698249
1591906528923,0.8549,-2.7516,1.9154999,0.022277,0.081658,0.697285
1591906528943,0.93439996,-2.636,3.5628,0.017424,0.069634,0.695781
1591906528964,1.079,-2.3801,4.1085997,0.0133299995,0.061688,0.693635
1591906528985,1.2021999,-2.0695999,2.9803998,0.01128,0.057731,0.691025
1591906529006,1.2969999,-1.87,1.6031,0.011845,0.055651,0.687732
1591906529028,0.93119997,-1.3831999,-0.5473,0.01702,0.052941,0.682276
1591906529047,0.8092,-1.1561999,-1.1590999,0.020225,0.054690998,0.679409
1591906529068,0.71349996,-0.5484,-2.2753,0.030026,0.055552,0.671118
1591906529089,0.636,-0.2586,-2.3613,0.038166,0.056117,0.664174
1591906529111,0.5309,-0.109699994,-1.9295,0.046347998,0.05453,0.65594697
1591906529132,0.5137,-0.2252,-1.2578,0.053322,0.05026,0.646488
1591906529151,0.4692,-0.38599998,-0.61,0.058509998,0.044395998,0.635653
1591906529173,0.30179998,-0.53709996,0.0345,0.061343,0.038704,0.623431
1591906529194,0.0735,-0.7672,0.75339997,0.061438,0.033795,0.609374
1591906529215,-0.4159,-1.0175999,1.4628999,0.061049,0.029364,0.59381497
1591906529236,-0.5703,-0.98249996,1.1675999,0.062085,0.0261,0.577038
1591906529257,-0.4385,-0.81159997,0.5279,0.065808,0.024201,0.55984
