@ HyperIMU - ianovir
@ Date:Thu Jun 11 22:13:32 GMT+02:00 2020, Sampling Rate:20ms

timestamp,linear_Acceleration.x,linear_Acceleration.y,linear_Acceleration.z,rotation_Vector.x,rotation_Vector.y,rotation_Vector.z
1591906412431,0.0,0.0,0.0,0.0,0.0,0.0
1591906412453,-0.94869995,0.87009996,1.0984,0.39505,0.066649,-0.599832
1591906412473,0.49769998,0.8882,0.733,0.39124098,0.061671,-0.599314
1591906412495,0.44829997,0.6764,-0.0229,0.39158,0.05912,-0.597991
1591906412515,0.7935,1.0543,-1.3363,0.393782,0.057439,-0.595141
1591906412536,1.2617999,1.3991,-0.6508,0.396069,0.054245,-0.591727
1591906412558,1.2731,1.6653,0.3762,0.395803,0.05022,-0.588977
1591906412578,1.0759,1.4774,0.66539997,0.394594,0.047139,-0.586949
1591906412599,0.4816,0.9198,0.3022,0.393163,0.042793,-0.58432
1591906412621,0.40449998,1.3907,0.4815,0.392898,0.041037,-0.582806
1591906412640,0.886,1.6733999,0.7999,0.392514,0.041449,-0.582739
1591906412664,2.1532,2.3476,0.6468,0.390477,0.031747,-0.577622
1591906412683,2.1092,2.3018,-0.038,0.390341,0.026293,-0.574189
1591906412704,1.1422,2.6680999,-0.3804,0.391932,0.022185,-0.57086897
1591906412726,1.6226,2.4342,0.43539998,0.391647,0.017664,-0.567987
1591906412745,2.0825,1.8858,0.7726,0.390009,0.016976,-0.555683
1591906412767,2.3485,1.0126,-0.010799999,0.388071,0.018667,-0.539319
1591906412788,2.207,0.5478,-0.40539998,0.386675,0.017644,-0.529404
1591906412809,2.4125,0.10349999,0.024899999,0.382796,0.0154719995,-0.521714
1591906412830,2.4726,-0.12799999,0.71129996,0.373736,0.024253,-0.506321
1591906412852,2.4317,-0.38819999,1.1163,0.36404,0.029883,-0.49275
1591906412869,2.7177,-0.4662,-0.46629998,0.357315,0.032358,-0.478961
1591906412892,3.1341999,0.08,-1.8239,0.355674,0.031619,-0.462921
1591906412913,3.6971,0.9296,-0.6113,0.348756,0.02641,-0.448091
1591906412934,3.8007,1.1611,0.4885,0.341804,0.024025999,-0.436794
1591906412955,3.1432998,0.72609997,-0.18329999,0.336363,0.022661,-0.42739
1591906412977,3.1432998,0.72609997,-0.18329999,0.336363,0.022661,-0.42739
1591906412997,2.0351,0.78099996,-1.0077,0.331661,0.024936,-0.40876
1591906413018,3.5181,-1.184,-0.7055,0.324665,0.024892,-0.398995
1591906413041,4.0828,-0.95059997,-0.9208,0.316277,0.022822,-0.390286
1591906413060,3.5779,-0.306,-1.3958,0.31308,0.028497,-0.385536
1591906413083,3.9134998,-0.106199995,-2.0221999,0.298802,0.024734,-0.377731
1591906413103,2.6332,1.0325,-0.14459999,0.282203,0.031416,-0.377636
1591906413124,1.9729999,3.1615999,2.079,0.261402,0.034192,-0.37979
1591906413146,2.4364,3.383,2.3825,0.240589,0.024321,-0.38037398
1591906413166,2.3262,2.2995,0.9668,0.226293,0.009374,-0.376431
1591906413187,4.1099,1.3413,0.6914,0.216089,-0.007558,-0.362814
1591906413209,4.5201,-0.3444,1.9176999,0.215805,-0.014434,-0.352656
1591906413232,3.9847,-1.9265,4.8514,0.219685,-0.009619,-0.345676
1591906413251,3.1383998,-2.0244,6.1442,0.22642499,-0.00159,-0.339934
1591906413271,2.4601,-0.5602,3.3112998,0.238242,-0.008432,-0.340422
1591906413292,2.4127998,0.2157,0.552,0.260101,-0.022189,-0.340494
1591906413314,1.4329,1.7329999,-3.5886998,0.291304,-0.034145,-0.336792
1591906413333,2.7716,1.3004999,-4.4986997,0.313186,-0.055132,-0.33587798
1591906413354,2.712,0.0897,-3.3899,0.32360598,-0.066647,-0.334071
1591906413378,1.8413,-0.3207,-2.3669999,0.329514,-0.061093,-0.331582
1591906413398,0.7157,-0.3786,-0.6076,0.332668,-0.043,-0.329012
1591906413417,0.5729,-1.4842,-2.3476,0.337372,-0.022014,-0.329371
1591906413438,1.0723,-1.4183999,-3.6999998,0.345058,-0.016894,-0.328994
1591906413459,1.7204,-1.0095,-3.7533998,0.351927,-0.016625,-0.3276
1591906413480,1.1278,-0.62799996,-3.7235,0.352828,-0.012742,-0.326437
1591906413500,-0.67789996,0.073199995,-3.1365,0.364035,-0.007811,-0.328925
1591906413521,-0.5941,-0.2549,-3.0828,0.368532,-0.001151,-0.327532
1591906413542,-1.4973999,0.3883,-4.0778,0.374904,0.005893,-0.324175
1591906413563,-1.7292999,1.0652,-3.7977998,0.379674,0.014511,-0.317958
1591906413584,0.0016,1.0539,-1.2224,0.373931,0.018662,-0.308247
1591906413605,1.0879999,1.6184,-0.6242,0.36245,0.017409,-0.296862
1591906413627,0.9084,2.6041,-0.5979,0.353077,0.018636,-0.285253
1591906413647,-1.5457,3.9046,-0.3514,0.345287,0.029259,-0.276474
1591906413668,-4.0487,5.6991997,0.5336,0.333707,0.062043,-0.263872
1591906413689,-3.2328,5.5882,3.622,0.324338,0.083523996,-0.253997
1591906413708,-3.0709999,5.2433,6.3494,0.312273,0.095995,-0.244253
1591906413729,-3.7077,4.766,6.2826,0.304758,0.099747,-0.23612
1591906413750,-3.4984,3.5800998,5.2418,0.30557,0.10191,-0.225564
1591906413772,-2.573,2.641,4.6594,0.311053,0.106349,-0.208489
1591906413793,-1.6037999,2.0075,4.3603997,0.318669,0.112998,-0.185018
1591906413814,-0.6479,1.3036,3.6996999,0.327059,0.119017,-0.15737
1591906413835,-0.4326,0.8494,2.2512999,0.337228,0.122742,-0.127344
1591906413856,-0.093399994,0.9392,1.0066999,0.349388,0.123513,-0.094782
1591906413877,0.82,0.454,0.868,0.364646,0.121614,-0.044345
1591906413898,0.9381,-0.0403,1.0124,0.368241,0.12254,-0.029744
1591906413918,0.35209998,-2.3200998,0.41939998,0.371453,0.120027,0.006852
1591906413938,0.063599996,-3.7826,0.2785,0.370422,0.116143,0.022288
1591906413959,0.24319999,-4.902,0.663,0.366714,0.108746,0.035449
1591906413980,0.9066,-5.1082,0.15789999,0.363816,0.098452,0.050382
1591906414002,2.2203,-5.069,0.35869998,0.362523,0.08583,0.069572
1591906414023,2.9475,-5.0179,0.6946,0.360631,0.073237,0.090103
1591906414044,2.5579998,-5.1376,0.56079996,0.35766,0.06462,0.108665
1591906414065,1.9621999,-5.0273,0.242,0.35423,0.062132,0.125342
1591906414087,1.9533,-4.5878997,-0.1589,0.352921,0.06959,0.147405
1591906414106,2.1791,-4.2176,-0.1725,0.35129,0.073929,0.164351
1591906414129,2.3718998,-2.6996999,-1.425,0.353292,0.077639,0.179983
1591906414151,2.5633,-2.4863,-2.7336,0.357522,0.079365,0.193126
1591906414171,2.679,-2.7998998,-2.9419,0.359366,0.079727,0.203787
1591906414190,2.6164,-2.8067,-2.1437,0.353476,0.079085,0.211844
1591906414211,2.1404998,-2.7129,-0.77129996,0.339149,0.078419,0.214994
1591906414232,1.6854,-2.7954,-0.1129,0.318733,0.078427,0.214036
1591906414253,0.991,-2.9631999,-0.24479999,0.295842,0.080583,0.210499
1591906414274,0.7686,-3.0174,-0.5494,0.281831,0.080979,0.208842
1591906414296,1.0548999,-3.3783,-1.5976,0.249989,0.092447996,0.201408
1591906414319,1.9397,-3.6148999,-2.2596,0.230194,0.099,0.199352
1591906414334,1.9353,-3.4505,-2.8402998,0.214344,0.101181,0.198508
1591906414357,1.2347,-2.1288,-1.3097,0.201494,0.1006,0.196295
1591906414379,3.5649,0.2985,-0.5373,0.193335,0.078882,0.19801
1591906414400,4.6088,1.9329,1.4010999,0.188771,0.06168,0.199706
1591906414421,4.646,2.5967999,3.2761,0.179097,0.054424,0.19812
1591906414443,4.1777997,4.3904,8.9288,0.160345,0.039182,0.192653
1591906414462,3.7998998,5.0195,10.1069,0.145625,0.0332,0.182135
1591906414483,2.5665998,4.9495,9.3571,0.138469,0.030162,0.166611
1591906414504,1.6351,4.2966,9.1622,0.135991,0.025532,0.144483
1591906414525,1.0768,3.4613998,8.809199,0.13698299,0.019589,0.119384
1591906414544,0.2244,2.2322,7.667,0.140542,0.012508,0.091693
